#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
        AES_OFB|  4.77e+07  | 690204630|     47715  |      40884  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.04293648|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.54432087|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.20574413|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.85914138|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.32719748|  PASSED  
        diehard_opso|   0|   2097152|     100|0.31428275|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.92583956|  PASSED  
         diehard_dna|   0|   2097152|     100|0.20588901|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.49725209|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.44954508|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.61642584|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.40831486|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.86853540|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.64124632|  PASSED  
        diehard_sums|   0|       100|     100|0.33494635|  PASSED  
        diehard_runs|   0|    100000|     100|0.40267694|  PASSED  
        diehard_runs|   0|    100000|     100|0.69405137|  PASSED  
       diehard_craps|   0|    200000|     100|0.28690559|  PASSED  
       diehard_craps|   0|    200000|     100|0.34956187|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.58768471|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.59981079|  PASSED  
         sts_monobit|   1|    100000|     100|0.42960361|  PASSED  
            sts_runs|   2|    100000|     100|0.92958478|  PASSED  
          sts_serial|   1|    100000|     100|0.42559726|  PASSED  
          sts_serial|   2|    100000|     100|0.40742980|  PASSED  
          sts_serial|   3|    100000|     100|0.25062532|  PASSED  
          sts_serial|   3|    100000|     100|0.17634476|  PASSED  
          sts_serial|   4|    100000|     100|0.01983966|  PASSED  
          sts_serial|   4|    100000|     100|0.19518095|  PASSED  
          sts_serial|   5|    100000|     100|0.11292511|  PASSED  
          sts_serial|   5|    100000|     100|0.80290571|  PASSED  
          sts_serial|   6|    100000|     100|0.47116113|  PASSED  
          sts_serial|   6|    100000|     100|0.75381858|  PASSED  
          sts_serial|   7|    100000|     100|0.20469209|  PASSED  
          sts_serial|   7|    100000|     100|0.07324561|  PASSED  
          sts_serial|   8|    100000|     100|0.52772547|  PASSED  
          sts_serial|   8|    100000|     100|0.91282310|  PASSED  
          sts_serial|   9|    100000|     100|0.45020864|  PASSED  
          sts_serial|   9|    100000|     100|0.71322195|  PASSED  
          sts_serial|  10|    100000|     100|0.56407929|  PASSED  
          sts_serial|  10|    100000|     100|0.55349749|  PASSED  
          sts_serial|  11|    100000|     100|0.98450213|  PASSED  
          sts_serial|  11|    100000|     100|0.99902257|   WEAK   
          sts_serial|  12|    100000|     100|0.43566259|  PASSED  
          sts_serial|  12|    100000|     100|0.78440551|  PASSED  
