#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
 R_knuth_taocp2|  6.39e+07  | 480038476|     63948  |      74029  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.90700033|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.04628824|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.57137329|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.95508102|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.76121043|  PASSED  
        diehard_opso|   0|   2097152|     100|0.21686958|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.23764393|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.88413631|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.10286087|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.67934334|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.42476005|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.67090743|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.55596501|  PASSED  
        diehard_sums|   0|       100|     100|0.28330748|  PASSED  
        diehard_runs|   0|    100000|     100|0.85845727|  PASSED  
        diehard_runs|   0|    100000|     100|0.74014100|  PASSED  
       diehard_craps|   0|    200000|     100|0.25897962|  PASSED  
       diehard_craps|   0|    200000|     100|0.13630406|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.88174654|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.64544458|  PASSED  
         sts_monobit|   1|    100000|     100|0.58216718|  PASSED  
            sts_runs|   2|    100000|     100|0.49991196|  PASSED  
          sts_serial|   1|    100000|     100|0.10086753|  PASSED  
          sts_serial|   2|    100000|     100|0.31502702|  PASSED  
          sts_serial|   3|    100000|     100|0.83152657|  PASSED  
          sts_serial|   3|    100000|     100|0.37707069|  PASSED  
          sts_serial|   4|    100000|     100|0.59727983|  PASSED  
          sts_serial|   4|    100000|     100|0.14253591|  PASSED  
          sts_serial|   5|    100000|     100|0.52736142|  PASSED  
          sts_serial|   5|    100000|     100|0.55874054|  PASSED  
          sts_serial|   6|    100000|     100|0.60694788|  PASSED  
          sts_serial|   6|    100000|     100|0.58521126|  PASSED  
          sts_serial|   7|    100000|     100|0.37918370|  PASSED  
          sts_serial|   7|    100000|     100|0.32735521|  PASSED  
          sts_serial|   8|    100000|     100|0.89783709|  PASSED  
          sts_serial|   8|    100000|     100|0.65668053|  PASSED  
          sts_serial|   9|    100000|     100|0.83416197|  PASSED  
          sts_serial|   9|    100000|     100|0.81353433|  PASSED  
          sts_serial|  10|    100000|     100|0.36241966|  PASSED  
          sts_serial|  10|    100000|     100|0.06728393|  PASSED  
          sts_serial|  11|    100000|     100|0.23712212|  PASSED  
          sts_serial|  11|    100000|     100|0.28843411|  PASSED  
          sts_serial|  12|    100000|     100|0.48160700|  PASSED  
          sts_serial|  12|    100000|     100|0.74915394|  PASSED  
          sts_serial|  13|    100000|     100|0.99246536|  PASSED  
          sts_serial|  13|    100000|     100|0.70475307|  PASSED  
          sts_serial|  14|    100000|     100|0.24046468|  PASSED  
          sts_serial|  14|    100000|     100|0.18415412|  PASSED  
          sts_serial|  15|    100000|     100|0.21919446|  PASSED  
          sts_serial|  15|    100000|     100|0.44860476|  PASSED  
          sts_serial|  16|    100000|     100|0.94105374|  PASSED  
          sts_serial|  16|    100000|     100|0.43363107|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.67808539|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.16915118|  PASSED  
