#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
R_marsaglia_multic.|  1.34e+08  | 656527072|    134321  |     164498  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.33003858|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.59174570|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.18701894|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.87892139|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.88827818|  PASSED  
        diehard_opso|   0|   2097152|     100|0.13838662|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.01402053|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.75086084|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.90372820|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.39368629|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.99025285|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.00000000|  FAILED  
     diehard_squeeze|   0|    100000|     100|0.28839085|  PASSED  
        diehard_sums|   0|       100|     100|0.12381665|  PASSED  
        diehard_runs|   0|    100000|     100|0.62056156|  PASSED  
        diehard_runs|   0|    100000|     100|0.81514995|  PASSED  
       diehard_craps|   0|    200000|     100|0.62760771|  PASSED  
       diehard_craps|   0|    200000|     100|0.73539619|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.76556032|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.27564548|  PASSED  
         sts_monobit|   1|    100000|     100|0.94346218|  PASSED  
            sts_runs|   2|    100000|     100|0.71292396|  PASSED  
          sts_serial|   1|    100000|     100|0.75419594|  PASSED  
          sts_serial|   2|    100000|     100|0.77704598|  PASSED  
          sts_serial|   3|    100000|     100|0.97635809|  PASSED  
          sts_serial|   3|    100000|     100|0.99919352|   WEAK   
          sts_serial|   4|    100000|     100|0.52169078|  PASSED  
          sts_serial|   4|    100000|     100|0.37783615|  PASSED  
          sts_serial|   5|    100000|     100|0.61641993|  PASSED  
          sts_serial|   5|    100000|     100|0.77107468|  PASSED  
          sts_serial|   6|    100000|     100|0.04509394|  PASSED  
          sts_serial|   6|    100000|     100|0.83434737|  PASSED  
          sts_serial|   7|    100000|     100|0.12271927|  PASSED  
          sts_serial|   7|    100000|     100|0.07210801|  PASSED  
          sts_serial|   8|    100000|     100|0.25554682|  PASSED  
          sts_serial|   8|    100000|     100|0.32204614|  PASSED  
          sts_serial|   9|    100000|     100|0.73186858|  PASSED  
          sts_serial|   9|    100000|     100|0.51096868|  PASSED  
          sts_serial|  10|    100000|     100|0.93560463|  PASSED  
          sts_serial|  10|    100000|     100|0.23678402|  PASSED  
          sts_serial|  11|    100000|     100|0.95615083|  PASSED  
          sts_serial|  11|    100000|     100|0.42946530|  PASSED  
          sts_serial|  12|    100000|     100|0.90847522|  PASSED  
          sts_serial|  12|    100000|     100|0.95147938|  PASSED  
          sts_serial|  13|    100000|     100|0.70282780|  PASSED  
          sts_serial|  13|    100000|     100|0.23671036|  PASSED  
          sts_serial|  14|    100000|     100|0.73316180|  PASSED  
          sts_serial|  14|    100000|     100|0.81889136|  PASSED  
          sts_serial|  15|    100000|     100|0.47486278|  PASSED  
          sts_serial|  15|    100000|     100|0.02153637|  PASSED  
          sts_serial|  16|    100000|     100|0.27485074|  PASSED  
          sts_serial|  16|    100000|     100|0.86565777|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.05202664|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.53023211|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.03713421|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.57376861|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.19372232|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.73597731|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.37932454|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.84635160|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.72808598|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.99883680|   WEAK   
         rgb_bitdist|  11|    100000|     100|0.62749957|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.17998920|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.85586267|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.00000000|  FAILED  
rgb_minimum_distance|   4|     10000|    1000|0.00000000|  FAILED  
rgb_minimum_distance|   5|     10000|    1000|0.00000000|  FAILED  
    rgb_permutations|   2|    100000|     100|0.88193706|  PASSED  
    rgb_permutations|   3|    100000|     100|0.90295651|  PASSED  
    rgb_permutations|   4|    100000|     100|0.55428903|  PASSED  
    rgb_permutations|   5|    100000|     100|0.75509508|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.06985938|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.28767447|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.04317204|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.88111518|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.13525130|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.03969075|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.94853382|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.09398308|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.64594855|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.40846035|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.99819503|   WEAK   
      rgb_lagged_sum|  11|   1000000|     100|0.55906090|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.23641734|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.85935203|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.00835046|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.92748331|  PASSED  
