#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
  R_super_duper|  1.21e+08  |1108607387|    120652  |     149900  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.12718126|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.37995403|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.14279676|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.00000000|  FAILED  
   diehard_bitstream|   0|   2097152|     100|0.37003194|  PASSED  
        diehard_opso|   0|   2097152|     100|0.56619604|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.30493159|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.00000118|   WEAK   
 diehard_parking_lot|   0|     12000|     100|0.54683180|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.57634323|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.94515205|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.55268360|  PASSED  
        diehard_sums|   0|       100|     100|0.25532792|  PASSED  
        diehard_runs|   0|    100000|     100|0.73483192|  PASSED  
        diehard_runs|   0|    100000|     100|0.47697158|  PASSED  
       diehard_craps|   0|    200000|     100|0.71073573|  PASSED  
       diehard_craps|   0|    200000|     100|0.08700882|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.62228208|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.88958695|  PASSED  
         sts_monobit|   1|    100000|     100|0.51646612|  PASSED  
            sts_runs|   2|    100000|     100|0.48988864|  PASSED  
          sts_serial|   1|    100000|     100|0.99201416|  PASSED  
          sts_serial|   2|    100000|     100|0.29678883|  PASSED  
          sts_serial|   3|    100000|     100|0.04908139|  PASSED  
          sts_serial|   3|    100000|     100|0.99251349|  PASSED  
          sts_serial|   4|    100000|     100|0.04557847|  PASSED  
          sts_serial|   4|    100000|     100|0.69060548|  PASSED  
          sts_serial|   5|    100000|     100|0.31767348|  PASSED  
          sts_serial|   5|    100000|     100|0.47185616|  PASSED  
          sts_serial|   6|    100000|     100|0.18703031|  PASSED  
          sts_serial|   6|    100000|     100|0.17516597|  PASSED  
          sts_serial|   7|    100000|     100|0.51235288|  PASSED  
          sts_serial|   7|    100000|     100|0.66895044|  PASSED  
          sts_serial|   8|    100000|     100|0.00105543|   WEAK   
          sts_serial|   8|    100000|     100|0.01005246|  PASSED  
          sts_serial|   9|    100000|     100|0.06929755|  PASSED  
          sts_serial|   9|    100000|     100|0.11913170|  PASSED  
          sts_serial|  10|    100000|     100|0.02405459|  PASSED  
          sts_serial|  10|    100000|     100|0.23692737|  PASSED  
          sts_serial|  11|    100000|     100|0.02399344|  PASSED  
          sts_serial|  11|    100000|     100|0.11136405|  PASSED  
          sts_serial|  12|    100000|     100|0.33650725|  PASSED  
          sts_serial|  12|    100000|     100|0.78911036|  PASSED  
          sts_serial|  13|    100000|     100|0.61153992|  PASSED  
