#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
R_wichmann_hill|  9.11e+07  |1052892328|     91092  |     107046  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.15859793|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.31174975|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.29605535|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.46630854|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.95149316|  PASSED  
        diehard_opso|   0|   2097152|     100|0.99162412|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.97713370|  PASSED  
         diehard_dna|   0|   2097152|     100|0.98135454|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.76647735|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.84725892|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.43371272|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.56388370|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.46204010|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.92286979|  PASSED  
        diehard_sums|   0|       100|     100|0.12079136|  PASSED  
        diehard_runs|   0|    100000|     100|0.81671051|  PASSED  
        diehard_runs|   0|    100000|     100|0.21504627|  PASSED  
       diehard_craps|   0|    200000|     100|0.97219971|  PASSED  
       diehard_craps|   0|    200000|     100|0.48779072|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.07363768|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.87440751|  PASSED  
         sts_monobit|   1|    100000|     100|0.66988956|  PASSED  
            sts_runs|   2|    100000|     100|0.27894809|  PASSED  
          sts_serial|   1|    100000|     100|0.96000515|  PASSED  
          sts_serial|   2|    100000|     100|0.74359565|  PASSED  
          sts_serial|   3|    100000|     100|0.44433020|  PASSED  
          sts_serial|   3|    100000|     100|0.41365137|  PASSED  
          sts_serial|   4|    100000|     100|0.99854408|   WEAK   
          sts_serial|   4|    100000|     100|0.99984624|   WEAK   
          sts_serial|   5|    100000|     100|0.46736983|  PASSED  
          sts_serial|   5|    100000|     100|0.94398781|  PASSED  
          sts_serial|   6|    100000|     100|0.74261936|  PASSED  
          sts_serial|   6|    100000|     100|0.62983888|  PASSED  
          sts_serial|   7|    100000|     100|0.64955691|  PASSED  
          sts_serial|   7|    100000|     100|0.18466583|  PASSED  
          sts_serial|   8|    100000|     100|0.92717652|  PASSED  
          sts_serial|   8|    100000|     100|0.52653258|  PASSED  
          sts_serial|   9|    100000|     100|0.26779533|  PASSED  
          sts_serial|   9|    100000|     100|0.96229184|  PASSED  
          sts_serial|  10|    100000|     100|0.22137858|  PASSED  
          sts_serial|  10|    100000|     100|0.37661622|  PASSED  
          sts_serial|  11|    100000|     100|0.35066891|  PASSED  
          sts_serial|  11|    100000|     100|0.22926078|  PASSED  
          sts_serial|  12|    100000|     100|0.25459021|  PASSED  
          sts_serial|  12|    100000|     100|0.79855384|  PASSED  
          sts_serial|  13|    100000|     100|0.76326955|  PASSED  
          sts_serial|  13|    100000|     100|0.80812770|  PASSED  
          sts_serial|  14|    100000|     100|0.37387035|  PASSED  
          sts_serial|  14|    100000|     100|0.27408183|  PASSED  
          sts_serial|  15|    100000|     100|0.52051042|  PASSED  
          sts_serial|  15|    100000|     100|0.23767323|  PASSED  
          sts_serial|  16|    100000|     100|0.87627852|  PASSED  
          sts_serial|  16|    100000|     100|0.86880535|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.34226710|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.67091001|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.97300338|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.94965728|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.54893682|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.39524378|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.99988917|   WEAK   
         rgb_bitdist|   8|    100000|     100|0.76857847|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.10113950|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.80588710|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.53122567|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.12968410|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.69581290|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.58940824|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.61273375|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.55621254|  PASSED  
    rgb_permutations|   2|    100000|     100|0.83633952|  PASSED  
    rgb_permutations|   3|    100000|     100|0.87347437|  PASSED  
    rgb_permutations|   4|    100000|     100|0.06222110|  PASSED  
    rgb_permutations|   5|    100000|     100|0.81079843|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.09747374|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.58959075|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.01432035|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.41713881|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.40599460|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.19109159|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.37614103|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.85326310|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.17709742|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.04551085|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.21192296|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.14719300|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.67515970|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.69525455|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.61410454|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.38919095|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.34253223|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.81788121|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.55094974|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.21019784|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.51529386|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.71534383|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.72303712|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.95853046|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.23748926|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.37613468|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.83313814|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.90305219|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.13360438|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.20151629|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.85146703|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.98813506|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.39790450|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.06766289|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.19869456|  PASSED  
             dab_dct| 256|     50000|       1|0.87749514|  PASSED  
Preparing to run test 207.  ntuple = 0
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.76166062|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.61312492|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.41579298|  PASSED  
Preparing to run test 210.  ntuple = 0
