#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
  Threefish_OFB|  9.23e+07  |3659469132|     92264  |      87436  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.29240898|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.89239746|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.04693323|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.28682829|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.90349132|  PASSED  
        diehard_opso|   0|   2097152|     100|0.32563691|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.87467522|  PASSED  
         diehard_dna|   0|   2097152|     100|0.25634540|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.54352994|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.34932690|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.39368629|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.00633813|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.90884343|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.70288738|  PASSED  
        diehard_sums|   0|       100|     100|0.42352316|  PASSED  
        diehard_runs|   0|    100000|     100|0.88089646|  PASSED  
        diehard_runs|   0|    100000|     100|0.97319640|  PASSED  
       diehard_craps|   0|    200000|     100|0.81670863|  PASSED  
       diehard_craps|   0|    200000|     100|0.26455760|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.41496501|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.63808582|  PASSED  
         sts_monobit|   1|    100000|     100|0.89829152|  PASSED  
            sts_runs|   2|    100000|     100|0.94309470|  PASSED  
          sts_serial|   1|    100000|     100|0.91206742|  PASSED  
          sts_serial|   2|    100000|     100|0.01341585|  PASSED  
          sts_serial|   3|    100000|     100|0.00060910|   WEAK   
          sts_serial|   3|    100000|     100|0.05362007|  PASSED  
          sts_serial|   4|    100000|     100|0.04141212|  PASSED  
          sts_serial|   4|    100000|     100|0.70861249|  PASSED  
          sts_serial|   5|    100000|     100|0.05406644|  PASSED  
          sts_serial|   5|    100000|     100|0.24294053|  PASSED  
          sts_serial|   6|    100000|     100|0.49154698|  PASSED  
          sts_serial|   6|    100000|     100|0.98640100|  PASSED  
          sts_serial|   7|    100000|     100|0.66784127|  PASSED  
          sts_serial|   7|    100000|     100|0.99495576|  PASSED  
          sts_serial|   8|    100000|     100|0.76568084|  PASSED  
          sts_serial|   8|    100000|     100|0.93797561|  PASSED  
          sts_serial|   9|    100000|     100|0.87110848|  PASSED  
          sts_serial|   9|    100000|     100|0.37586932|  PASSED  
          sts_serial|  10|    100000|     100|0.77261507|  PASSED  
          sts_serial|  10|    100000|     100|0.57384713|  PASSED  
          sts_serial|  11|    100000|     100|0.79156780|  PASSED  
          sts_serial|  11|    100000|     100|0.34022172|  PASSED  
          sts_serial|  12|    100000|     100|0.86304477|  PASSED  
          sts_serial|  12|    100000|     100|0.75266692|  PASSED  
          sts_serial|  13|    100000|     100|0.53290197|  PASSED  
          sts_serial|  13|    100000|     100|0.00915887|  PASSED  
          sts_serial|  14|    100000|     100|0.24712634|  PASSED  
          sts_serial|  14|    100000|     100|0.48590251|  PASSED  
          sts_serial|  15|    100000|     100|0.25442852|  PASSED  
          sts_serial|  15|    100000|     100|0.65637395|  PASSED  
          sts_serial|  16|    100000|     100|0.30397004|  PASSED  
          sts_serial|  16|    100000|     100|0.29999783|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.23315703|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.62672038|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.62797440|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.91359683|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.65122418|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.82060696|  PASSED  
