#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
  Threefish_OFB|  7.07e+07  | 669929164|     70742  |      63910  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.36295781|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.06714281|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.99509499|   WEAK   
  diehard_rank_32x32|   0|     40000|     200|0.85152970|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.90855212|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.34830700|  PASSED  
        diehard_opso|   0|   2097152|     100|0.83529754|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.03479943|  PASSED  
         diehard_dna|   0|   2097152|     100|0.90008077|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.50422773|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.56943666|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.20045759|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.34649181|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.27188797|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.63875321|  PASSED  
        diehard_sums|   0|       100|     100|0.02292384|  PASSED  
        diehard_runs|   0|    100000|     100|0.62532697|  PASSED  
        diehard_runs|   0|    100000|     100|0.85073390|  PASSED  
       diehard_craps|   0|    200000|     100|0.17333916|  PASSED  
       diehard_craps|   0|    200000|     100|0.44113265|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.92356656|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.99735109|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     200|0.89145978|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     200|0.95814376|  PASSED  
         sts_monobit|   1|    100000|     100|0.51143116|  PASSED  
            sts_runs|   2|    100000|     100|0.97121095|  PASSED  
          sts_serial|   1|    100000|     100|0.67084731|  PASSED  
          sts_serial|   2|    100000|     100|0.99637846|   WEAK   
          sts_serial|   3|    100000|     100|0.78083947|  PASSED  
          sts_serial|   3|    100000|     100|0.98359286|  PASSED  
          sts_serial|   4|    100000|     100|0.41524523|  PASSED  
          sts_serial|   4|    100000|     100|0.84213406|  PASSED  
          sts_serial|   5|    100000|     100|0.16776668|  PASSED  
          sts_serial|   5|    100000|     100|0.13498170|  PASSED  
          sts_serial|   6|    100000|     100|0.80781323|  PASSED  
          sts_serial|   6|    100000|     100|0.86179764|  PASSED  
          sts_serial|   7|    100000|     100|0.90289157|  PASSED  
          sts_serial|   7|    100000|     100|0.99430539|  PASSED  
          sts_serial|   8|    100000|     100|0.45271148|  PASSED  
          sts_serial|   8|    100000|     100|0.36997000|  PASSED  
          sts_serial|   9|    100000|     100|0.67393019|  PASSED  
          sts_serial|   9|    100000|     100|0.33158767|  PASSED  
          sts_serial|  10|    100000|     100|0.85955745|  PASSED  
          sts_serial|  10|    100000|     100|0.68496507|  PASSED  
          sts_serial|  11|    100000|     100|0.98760258|  PASSED  
          sts_serial|  11|    100000|     100|0.98166332|  PASSED  
          sts_serial|  12|    100000|     100|0.78045676|  PASSED  
          sts_serial|  12|    100000|     100|0.85749650|  PASSED  
          sts_serial|  13|    100000|     100|0.75005599|  PASSED  
          sts_serial|  13|    100000|     100|0.30190383|  PASSED  
          sts_serial|  14|    100000|     100|0.17949496|  PASSED  
          sts_serial|  14|    100000|     100|0.67855950|  PASSED  
          sts_serial|  15|    100000|     100|0.94787812|  PASSED  
          sts_serial|  15|    100000|     100|0.47772051|  PASSED  
          sts_serial|  16|    100000|     100|0.59066818|  PASSED  
          sts_serial|  16|    100000|     100|0.37704512|  PASSED  
          sts_serial|   1|    100000|     200|0.56799156|  PASSED  
          sts_serial|   2|    100000|     200|0.63192637|  PASSED  
          sts_serial|   3|    100000|     200|0.81034630|  PASSED  
          sts_serial|   3|    100000|     200|0.85893433|  PASSED  
          sts_serial|   4|    100000|     200|0.28325097|  PASSED  
          sts_serial|   4|    100000|     200|0.38133481|  PASSED  
          sts_serial|   5|    100000|     200|0.52197215|  PASSED  
          sts_serial|   5|    100000|     200|0.69110547|  PASSED  
          sts_serial|   6|    100000|     200|0.87216818|  PASSED  
          sts_serial|   6|    100000|     200|0.99482209|  PASSED  
          sts_serial|   7|    100000|     200|0.91849090|  PASSED  
          sts_serial|   7|    100000|     200|0.74312444|  PASSED  
          sts_serial|   8|    100000|     200|0.47554250|  PASSED  
          sts_serial|   8|    100000|     200|0.32526439|  PASSED  
          sts_serial|   9|    100000|     200|0.82510775|  PASSED  
          sts_serial|   9|    100000|     200|0.13127690|  PASSED  
          sts_serial|  10|    100000|     200|0.56922318|  PASSED  
          sts_serial|  10|    100000|     200|0.07286916|  PASSED  
          sts_serial|  11|    100000|     200|0.99298402|  PASSED  
          sts_serial|  11|    100000|     200|0.22337836|  PASSED  
          sts_serial|  12|    100000|     200|0.22672470|  PASSED  
          sts_serial|  12|    100000|     200|0.80296495|  PASSED  
          sts_serial|  13|    100000|     200|0.14620796|  PASSED  
          sts_serial|  13|    100000|     200|0.11489618|  PASSED  
          sts_serial|  14|    100000|     200|0.30964331|  PASSED  
          sts_serial|  14|    100000|     200|0.79994901|  PASSED  
          sts_serial|  15|    100000|     200|0.89318170|  PASSED  
          sts_serial|  15|    100000|     200|0.48158641|  PASSED  
          sts_serial|  16|    100000|     200|0.49536552|  PASSED  
          sts_serial|  16|    100000|     200|0.32447567|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.90772065|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.37792352|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.12438676|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.17073432|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.32951730|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.82117217|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.92209923|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.98563734|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.27060369|  PASSED  
