#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
XOR (206^207)  |  2.83e+07  | 128262240|     28333  |      30035  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.16962205|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.52853427|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.92684311|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.42591064|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.84021375|  PASSED  
        diehard_opso|   0|   2097152|     100|0.03363559|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.99486186|  PASSED  
         diehard_dna|   0|   2097152|     100|0.93414355|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.96651258|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.71062938|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.22336727|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.31249564|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.32346098|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.03665792|  PASSED  
        diehard_sums|   0|       100|     100|0.22250737|  PASSED  
        diehard_runs|   0|    100000|     100|0.13988153|  PASSED  
        diehard_runs|   0|    100000|     100|0.10663763|  PASSED  
       diehard_craps|   0|    200000|     100|0.51384935|  PASSED  
       diehard_craps|   0|    200000|     100|0.48084114|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.24113439|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.13293100|  PASSED  
         sts_monobit|   1|    100000|     100|0.75811878|  PASSED  
            sts_runs|   2|    100000|     100|0.71172637|  PASSED  
          sts_serial|   1|    100000|     100|0.46330159|  PASSED  
          sts_serial|   2|    100000|     100|0.96759819|  PASSED  
          sts_serial|   3|    100000|     100|0.86184815|  PASSED  
          sts_serial|   3|    100000|     100|0.68265064|  PASSED  
          sts_serial|   4|    100000|     100|0.61564476|  PASSED  
          sts_serial|   4|    100000|     100|0.41780689|  PASSED  
          sts_serial|   5|    100000|     100|0.76287877|  PASSED  
          sts_serial|   5|    100000|     100|0.32702782|  PASSED  
          sts_serial|   6|    100000|     100|0.52823970|  PASSED  
          sts_serial|   6|    100000|     100|0.76056786|  PASSED  
          sts_serial|   7|    100000|     100|0.66941165|  PASSED  
          sts_serial|   7|    100000|     100|0.72140525|  PASSED  
          sts_serial|   8|    100000|     100|0.34690893|  PASSED  
          sts_serial|   8|    100000|     100|0.31676120|  PASSED  
          sts_serial|   9|    100000|     100|0.97387246|  PASSED  
          sts_serial|   9|    100000|     100|0.66637995|  PASSED  
          sts_serial|  10|    100000|     100|0.74521747|  PASSED  
          sts_serial|  10|    100000|     100|0.76713531|  PASSED  
          sts_serial|  11|    100000|     100|0.77437437|  PASSED  
          sts_serial|  11|    100000|     100|0.75157498|  PASSED  
