#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
             ca|  1.18e+08  | 651276431|    117518  |      70488  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.79811730|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.92848006|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.82145877|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.36203023|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.02315268|  PASSED  
        diehard_opso|   0|   2097152|     100|0.33121541|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.73528398|  PASSED  
         diehard_dna|   0|   2097152|     100|0.97780284|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.79477045|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.58930048|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.97346195|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.14960294|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.57301748|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.37131229|  PASSED  
        diehard_sums|   0|       100|     100|0.11766272|  PASSED  
        diehard_runs|   0|    100000|     100|0.03267070|  PASSED  
        diehard_runs|   0|    100000|     100|0.48394095|  PASSED  
       diehard_craps|   0|    200000|     100|0.60081074|  PASSED  
       diehard_craps|   0|    200000|     100|0.98920726|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.95126672|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.19130098|  PASSED  
         sts_monobit|   1|    100000|     100|0.58424509|  PASSED  
            sts_runs|   2|    100000|     100|0.62720123|  PASSED  
          sts_serial|   1|    100000|     100|0.91176380|  PASSED  
          sts_serial|   2|    100000|     100|0.75741481|  PASSED  
          sts_serial|   3|    100000|     100|0.30796686|  PASSED  
          sts_serial|   3|    100000|     100|0.48396555|  PASSED  
          sts_serial|   4|    100000|     100|0.94171709|  PASSED  
          sts_serial|   4|    100000|     100|0.85961084|  PASSED  
          sts_serial|   5|    100000|     100|0.49730931|  PASSED  
          sts_serial|   5|    100000|     100|0.81857853|  PASSED  
          sts_serial|   6|    100000|     100|0.98863948|  PASSED  
          sts_serial|   6|    100000|     100|0.80708821|  PASSED  
          sts_serial|   7|    100000|     100|0.50759224|  PASSED  
          sts_serial|   7|    100000|     100|0.64211904|  PASSED  
          sts_serial|   8|    100000|     100|0.71294636|  PASSED  
          sts_serial|   8|    100000|     100|0.19589082|  PASSED  
          sts_serial|   9|    100000|     100|0.23331849|  PASSED  
          sts_serial|   9|    100000|     100|0.65607194|  PASSED  
          sts_serial|  10|    100000|     100|0.78626543|  PASSED  
          sts_serial|  10|    100000|     100|0.63473114|  PASSED  
          sts_serial|  11|    100000|     100|0.25186678|  PASSED  
          sts_serial|  11|    100000|     100|0.29029412|  PASSED  
          sts_serial|  12|    100000|     100|0.56171901|  PASSED  
          sts_serial|  12|    100000|     100|0.51229281|  PASSED  
          sts_serial|  13|    100000|     100|0.85711896|  PASSED  
          sts_serial|  13|    100000|     100|0.78774205|  PASSED  
          sts_serial|  14|    100000|     100|0.80604105|  PASSED  
          sts_serial|  14|    100000|     100|0.80897647|  PASSED  
          sts_serial|  15|    100000|     100|0.73015665|  PASSED  
          sts_serial|  15|    100000|     100|0.90984968|  PASSED  
          sts_serial|  16|    100000|     100|0.89506968|  PASSED  
          sts_serial|  16|    100000|     100|0.85913183|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.95107152|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.32358619|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.52129270|  PASSED  
