#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
        efiix64|  1.73e+08  |3641491281|    173178  |     171191  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.42774603|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.28925534|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.17638973|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.23589280|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.14361120|  PASSED  
        diehard_opso|   0|   2097152|     100|0.33488061|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.96399473|  PASSED  
         diehard_dna|   0|   2097152|     100|0.79322829|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.97641801|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.52328478|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.28167383|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.87259682|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.16587767|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.53247312|  PASSED  
        diehard_sums|   0|       100|     100|0.22205172|  PASSED  
        diehard_runs|   0|    100000|     100|0.66960273|  PASSED  
        diehard_runs|   0|    100000|     100|0.35479640|  PASSED  
       diehard_craps|   0|    200000|     100|0.16323130|  PASSED  
       diehard_craps|   0|    200000|     100|0.93483506|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.44503665|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.78079694|  PASSED  
         sts_monobit|   1|    100000|     100|0.56768863|  PASSED  
            sts_runs|   2|    100000|     100|0.89977465|  PASSED  
          sts_serial|   1|    100000|     100|0.87380573|  PASSED  
          sts_serial|   2|    100000|     100|0.56894288|  PASSED  
          sts_serial|   3|    100000|     100|0.03259353|  PASSED  
          sts_serial|   3|    100000|     100|0.02094433|  PASSED  
          sts_serial|   4|    100000|     100|0.38458482|  PASSED  
          sts_serial|   4|    100000|     100|0.94324665|  PASSED  
          sts_serial|   5|    100000|     100|0.54231839|  PASSED  
          sts_serial|   5|    100000|     100|0.92413053|  PASSED  
          sts_serial|   6|    100000|     100|0.66421202|  PASSED  
          sts_serial|   6|    100000|     100|0.49927287|  PASSED  
          sts_serial|   7|    100000|     100|0.74149586|  PASSED  
          sts_serial|   7|    100000|     100|0.44449944|  PASSED  
          sts_serial|   8|    100000|     100|0.26928688|  PASSED  
          sts_serial|   8|    100000|     100|0.02428446|  PASSED  
          sts_serial|   9|    100000|     100|0.82640231|  PASSED  
          sts_serial|   9|    100000|     100|0.85872740|  PASSED  
          sts_serial|  10|    100000|     100|0.08304649|  PASSED  
          sts_serial|  10|    100000|     100|0.46317649|  PASSED  
          sts_serial|  11|    100000|     100|0.79483992|  PASSED  
          sts_serial|  11|    100000|     100|0.15466790|  PASSED  
          sts_serial|  12|    100000|     100|0.52639027|  PASSED  
          sts_serial|  12|    100000|     100|0.73304505|  PASSED  
          sts_serial|  13|    100000|     100|0.61877911|  PASSED  
          sts_serial|  13|    100000|     100|0.51373438|  PASSED  
          sts_serial|  14|    100000|     100|0.14064316|  PASSED  
          sts_serial|  14|    100000|     100|0.43401247|  PASSED  
          sts_serial|  15|    100000|     100|0.07635187|  PASSED  
          sts_serial|  15|    100000|     100|0.32145568|  PASSED  
          sts_serial|  16|    100000|     100|0.73892958|  PASSED  
          sts_serial|  16|    100000|     100|0.93804153|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.63699551|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.62576628|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.71125967|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.66121622|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.47886326|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.65363540|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.22641772|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.20365315|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.91478592|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.65477893|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.84957131|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.07074503|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.53514244|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.96919403|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.81613673|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.11223793|  PASSED  
    rgb_permutations|   2|    100000|     100|0.18237372|  PASSED  
    rgb_permutations|   3|    100000|     100|0.41042760|  PASSED  
    rgb_permutations|   4|    100000|     100|0.87499097|  PASSED  
    rgb_permutations|   5|    100000|     100|0.24035186|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.00589029|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.06890958|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.45445550|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.04222831|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.15775842|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.05147429|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.92780355|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.68978576|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.18833521|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.57911020|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.96493759|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.04596017|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.88694729|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.18236490|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.07362501|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.83400943|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.27735911|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.56207055|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.94616675|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.11700203|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.68620316|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.93107347|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.77252894|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.90837229|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.93432740|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.81548644|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.25227392|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.68789181|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.45895522|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.89582789|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.11322612|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.42893197|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.28785095|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.75807206|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.75268375|  PASSED  
             dab_dct| 256|     50000|       1|0.39531293|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.45381455|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.87866717|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.81933876|  PASSED  
Preparing to run test 210.  ntuple = 0
