#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
      fishman20|  1.31e+08  | 726360029|    131150  |     137650  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.50104481|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.61682100|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.75917733|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.14153709|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.21996521|  PASSED  
        diehard_opso|   0|   2097152|     100|0.12533608|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.79841069|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.42092526|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.95767206|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.20513585|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.08590503|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.06979514|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.85557764|  PASSED  
        diehard_sums|   0|       100|     100|0.48627312|  PASSED  
        diehard_runs|   0|    100000|     100|0.82375262|  PASSED  
        diehard_runs|   0|    100000|     100|0.45217540|  PASSED  
       diehard_craps|   0|    200000|     100|0.34477557|  PASSED  
       diehard_craps|   0|    200000|     100|0.77498045|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.20859535|  PASSED  
         sts_monobit|   1|    100000|     100|0.71640286|  PASSED  
            sts_runs|   2|    100000|     100|0.91410307|  PASSED  
          sts_serial|   1|    100000|     100|0.69975167|  PASSED  
          sts_serial|   2|    100000|     100|0.59467666|  PASSED  
          sts_serial|   3|    100000|     100|0.33804486|  PASSED  
          sts_serial|   3|    100000|     100|0.96198005|  PASSED  
          sts_serial|   4|    100000|     100|0.25786879|  PASSED  
          sts_serial|   4|    100000|     100|0.43870406|  PASSED  
          sts_serial|   5|    100000|     100|0.58169747|  PASSED  
          sts_serial|   5|    100000|     100|0.76255019|  PASSED  
          sts_serial|   6|    100000|     100|0.41181773|  PASSED  
          sts_serial|   6|    100000|     100|0.22015033|  PASSED  
          sts_serial|   7|    100000|     100|0.33879826|  PASSED  
          sts_serial|   7|    100000|     100|0.96272344|  PASSED  
          sts_serial|   8|    100000|     100|0.20632035|  PASSED  
          sts_serial|   8|    100000|     100|0.24055074|  PASSED  
          sts_serial|   9|    100000|     100|0.31118257|  PASSED  
          sts_serial|   9|    100000|     100|0.97892763|  PASSED  
          sts_serial|  10|    100000|     100|0.76014805|  PASSED  
          sts_serial|  10|    100000|     100|0.64001814|  PASSED  
          sts_serial|  11|    100000|     100|0.92669228|  PASSED  
          sts_serial|  11|    100000|     100|0.61924096|  PASSED  
          sts_serial|  12|    100000|     100|0.95894149|  PASSED  
          sts_serial|  12|    100000|     100|0.77585572|  PASSED  
          sts_serial|  13|    100000|     100|0.49883767|  PASSED  
          sts_serial|  13|    100000|     100|0.99361197|  PASSED  
