#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
      fishman2x|  1.45e+08  | 938588841|    145062  |     139989  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.00449547|   WEAK   
      diehard_operm5|   0|   1000000|     100|0.84516365|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.62931847|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.19478139|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.90267630|  PASSED  
        diehard_opso|   0|   2097152|     100|0.97575122|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.57544649|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.05427024|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.01801038|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.59549008|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.94671230|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.69319635|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.39166826|  PASSED  
        diehard_sums|   0|       100|     100|0.29279531|  PASSED  
        diehard_runs|   0|    100000|     100|0.44499920|  PASSED  
        diehard_runs|   0|    100000|     100|0.95898297|  PASSED  
       diehard_craps|   0|    200000|     100|0.09180486|  PASSED  
       diehard_craps|   0|    200000|     100|0.96753096|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.25686288|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.37549566|  PASSED  
         sts_monobit|   1|    100000|     100|0.94820779|  PASSED  
            sts_runs|   2|    100000|     100|0.97308350|  PASSED  
          sts_serial|   1|    100000|     100|0.81874479|  PASSED  
          sts_serial|   2|    100000|     100|0.60495762|  PASSED  
          sts_serial|   3|    100000|     100|0.19302403|  PASSED  
          sts_serial|   3|    100000|     100|0.19504434|  PASSED  
          sts_serial|   4|    100000|     100|0.22940997|  PASSED  
          sts_serial|   4|    100000|     100|0.63228858|  PASSED  
          sts_serial|   5|    100000|     100|0.97138845|  PASSED  
          sts_serial|   5|    100000|     100|0.32095182|  PASSED  
          sts_serial|   6|    100000|     100|0.97019871|  PASSED  
          sts_serial|   6|    100000|     100|0.23336267|  PASSED  
          sts_serial|   7|    100000|     100|0.02462322|  PASSED  
          sts_serial|   7|    100000|     100|0.28006616|  PASSED  
          sts_serial|   8|    100000|     100|0.90382777|  PASSED  
          sts_serial|   8|    100000|     100|0.98926281|  PASSED  
          sts_serial|   9|    100000|     100|0.30567175|  PASSED  
          sts_serial|   9|    100000|     100|0.22818010|  PASSED  
          sts_serial|  10|    100000|     100|0.99045849|  PASSED  
          sts_serial|  10|    100000|     100|0.61538254|  PASSED  
          sts_serial|  11|    100000|     100|0.83543825|  PASSED  
          sts_serial|  11|    100000|     100|0.40110295|  PASSED  
          sts_serial|  12|    100000|     100|0.87696702|  PASSED  
          sts_serial|  12|    100000|     100|0.40698187|  PASSED  
          sts_serial|  13|    100000|     100|0.55606044|  PASSED  
          sts_serial|  13|    100000|     100|0.10117550|  PASSED  
          sts_serial|  14|    100000|     100|0.40866115|  PASSED  
          sts_serial|  14|    100000|     100|0.58297020|  PASSED  
          sts_serial|  15|    100000|     100|0.37761958|  PASSED  
          sts_serial|  15|    100000|     100|0.90448099|  PASSED  
          sts_serial|  16|    100000|     100|0.26247302|  PASSED  
          sts_serial|  16|    100000|     100|0.34891527|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.16136312|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.94523981|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.52187586|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.30203788|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.62959524|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.85959487|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.32635042|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.09257612|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.60041194|  PASSED  
