#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
          gfsr4|  1.67e+08  |1390102311|    166750  |     178110  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.46042477|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.81915449|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.58853796|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.31318633|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.79057618|  PASSED  
        diehard_opso|   0|   2097152|     100|0.99987712|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.26431442|  PASSED  
         diehard_dna|   0|   2097152|     100|0.24957697|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.51874341|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.82332999|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.43004782|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.87588492|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.70896140|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.91530369|  PASSED  
        diehard_sums|   0|       100|     100|0.00256961|   WEAK   
        diehard_runs|   0|    100000|     100|0.64027169|  PASSED  
        diehard_runs|   0|    100000|     100|0.07378384|  PASSED  
       diehard_craps|   0|    200000|     100|0.33690837|  PASSED  
       diehard_craps|   0|    200000|     100|0.35489842|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.63445073|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.82730035|  PASSED  
         sts_monobit|   1|    100000|     100|0.85868072|  PASSED  
            sts_runs|   2|    100000|     100|0.48868706|  PASSED  
          sts_serial|   1|    100000|     100|0.90244032|  PASSED  
          sts_serial|   2|    100000|     100|0.63585805|  PASSED  
          sts_serial|   3|    100000|     100|0.81133877|  PASSED  
          sts_serial|   3|    100000|     100|0.74575474|  PASSED  
          sts_serial|   4|    100000|     100|0.87618462|  PASSED  
          sts_serial|   4|    100000|     100|0.94112808|  PASSED  
          sts_serial|   5|    100000|     100|0.83946066|  PASSED  
          sts_serial|   5|    100000|     100|0.93014858|  PASSED  
          sts_serial|   6|    100000|     100|0.47674553|  PASSED  
          sts_serial|   6|    100000|     100|0.30373848|  PASSED  
          sts_serial|   7|    100000|     100|0.48390523|  PASSED  
          sts_serial|   7|    100000|     100|0.56709503|  PASSED  
          sts_serial|   8|    100000|     100|0.75730457|  PASSED  
          sts_serial|   8|    100000|     100|0.41611001|  PASSED  
          sts_serial|   9|    100000|     100|0.84504076|  PASSED  
          sts_serial|   9|    100000|     100|0.27473104|  PASSED  
          sts_serial|  10|    100000|     100|0.30586922|  PASSED  
          sts_serial|  10|    100000|     100|0.74278266|  PASSED  
          sts_serial|  11|    100000|     100|0.08550953|  PASSED  
          sts_serial|  11|    100000|     100|0.24729038|  PASSED  
          sts_serial|  12|    100000|     100|0.32861351|  PASSED  
          sts_serial|  12|    100000|     100|0.74008752|  PASSED  
          sts_serial|  13|    100000|     100|0.22020209|  PASSED  
          sts_serial|  13|    100000|     100|0.55997226|  PASSED  
          sts_serial|  14|    100000|     100|0.35550947|  PASSED  
          sts_serial|  14|    100000|     100|0.82770244|  PASSED  
          sts_serial|  15|    100000|     100|0.95463385|  PASSED  
          sts_serial|  15|    100000|     100|0.05854754|  PASSED  
          sts_serial|  16|    100000|     100|0.99865048|   WEAK   
          sts_serial|  16|    100000|     100|0.97340468|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.92420752|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.04543732|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.03399099|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.96609225|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.48366709|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.99695114|   WEAK   
         rgb_bitdist|   7|    100000|     100|0.86101802|  PASSED  
