#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
         hc-128|  1.54e+08  | 889572305|    153583  |      99089  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.52716755|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.82187693|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.59923641|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.50045392|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.53049310|  PASSED  
        diehard_opso|   0|   2097152|     100|0.15559407|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.48868600|  PASSED  
         diehard_dna|   0|   2097152|     100|0.57478815|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.42798069|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.93454369|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.19184518|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.21231147|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.92421262|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.20494522|  PASSED  
        diehard_sums|   0|       100|     100|0.48497597|  PASSED  
        diehard_runs|   0|    100000|     100|0.32342156|  PASSED  
        diehard_runs|   0|    100000|     100|0.96076895|  PASSED  
       diehard_craps|   0|    200000|     100|0.65212921|  PASSED  
       diehard_craps|   0|    200000|     100|0.08705109|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.33228663|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.21965097|  PASSED  
         sts_monobit|   1|    100000|     100|0.80508582|  PASSED  
            sts_runs|   2|    100000|     100|0.46773054|  PASSED  
          sts_serial|   1|    100000|     100|0.53265177|  PASSED  
          sts_serial|   2|    100000|     100|0.89048293|  PASSED  
          sts_serial|   3|    100000|     100|0.61237762|  PASSED  
          sts_serial|   3|    100000|     100|0.47961101|  PASSED  
          sts_serial|   4|    100000|     100|0.64114586|  PASSED  
          sts_serial|   4|    100000|     100|0.53683374|  PASSED  
          sts_serial|   5|    100000|     100|0.12767455|  PASSED  
          sts_serial|   5|    100000|     100|0.43602566|  PASSED  
          sts_serial|   6|    100000|     100|0.51834204|  PASSED  
          sts_serial|   6|    100000|     100|0.85323522|  PASSED  
          sts_serial|   7|    100000|     100|0.41381566|  PASSED  
          sts_serial|   7|    100000|     100|0.62280707|  PASSED  
          sts_serial|   8|    100000|     100|0.60946619|  PASSED  
          sts_serial|   8|    100000|     100|0.93679136|  PASSED  
          sts_serial|   9|    100000|     100|0.76386050|  PASSED  
          sts_serial|   9|    100000|     100|0.80431263|  PASSED  
          sts_serial|  10|    100000|     100|0.87433857|  PASSED  
          sts_serial|  10|    100000|     100|0.83583510|  PASSED  
          sts_serial|  11|    100000|     100|0.42867152|  PASSED  
          sts_serial|  11|    100000|     100|0.75737231|  PASSED  
          sts_serial|  12|    100000|     100|0.37715986|  PASSED  
          sts_serial|  12|    100000|     100|0.87662512|  PASSED  
          sts_serial|  13|    100000|     100|0.49415236|  PASSED  
          sts_serial|  13|    100000|     100|0.94254312|  PASSED  
          sts_serial|  14|    100000|     100|0.39126747|  PASSED  
          sts_serial|  14|    100000|     100|0.60601643|  PASSED  
          sts_serial|  15|    100000|     100|0.73445029|  PASSED  
          sts_serial|  15|    100000|     100|0.63621957|  PASSED  
          sts_serial|  16|    100000|     100|0.93908864|  PASSED  
          sts_serial|  16|    100000|     100|0.86599093|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.08439156|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.31013278|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.34174455|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.38294551|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.88341488|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.92457571|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.43352452|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.86040895|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.73809818|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.39085089|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.75234488|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.21885877|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.52494038|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.42772342|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.34470393|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.31780933|  PASSED  
    rgb_permutations|   2|    100000|     100|0.65681192|  PASSED  
    rgb_permutations|   3|    100000|     100|0.07695686|  PASSED  
    rgb_permutations|   4|    100000|     100|0.62763352|  PASSED  
    rgb_permutations|   5|    100000|     100|0.68684258|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.83816167|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.94013010|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.55751992|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.91699723|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.91750407|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.58043060|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.86214818|  PASSED  
