#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
   knuthran2002|  9.17e+07  | 807134495|     91739  |      91349  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.91150091|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.93894152|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.51076234|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.85642231|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.97598272|  PASSED  
        diehard_opso|   0|   2097152|     100|0.49514593|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.40332598|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.11093375|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.48036036|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.95327896|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.15659561|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.81052278|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.47472866|  PASSED  
        diehard_sums|   0|       100|     100|0.25064984|  PASSED  
        diehard_runs|   0|    100000|     100|0.37971054|  PASSED  
        diehard_runs|   0|    100000|     100|0.19407105|  PASSED  
       diehard_craps|   0|    200000|     100|0.10598270|  PASSED  
       diehard_craps|   0|    200000|     100|0.77666646|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.59905792|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.29756992|  PASSED  
         sts_monobit|   1|    100000|     100|0.11539994|  PASSED  
            sts_runs|   2|    100000|     100|0.12616747|  PASSED  
          sts_serial|   1|    100000|     100|0.37735305|  PASSED  
          sts_serial|   2|    100000|     100|0.09225770|  PASSED  
          sts_serial|   3|    100000|     100|0.01874090|  PASSED  
          sts_serial|   3|    100000|     100|0.04638230|  PASSED  
          sts_serial|   4|    100000|     100|0.01584418|  PASSED  
          sts_serial|   4|    100000|     100|0.58914896|  PASSED  
          sts_serial|   5|    100000|     100|0.01977416|  PASSED  
          sts_serial|   5|    100000|     100|0.87024534|  PASSED  
          sts_serial|   6|    100000|     100|0.06380965|  PASSED  
          sts_serial|   6|    100000|     100|0.60545629|  PASSED  
          sts_serial|   7|    100000|     100|0.07307347|  PASSED  
          sts_serial|   7|    100000|     100|0.06512712|  PASSED  
          sts_serial|   8|    100000|     100|0.99472875|  PASSED  
          sts_serial|   8|    100000|     100|0.02465575|  PASSED  
          sts_serial|   9|    100000|     100|0.53530653|  PASSED  
          sts_serial|   9|    100000|     100|0.89001567|  PASSED  
          sts_serial|  10|    100000|     100|0.72182633|  PASSED  
          sts_serial|  10|    100000|     100|0.73358032|  PASSED  
          sts_serial|  11|    100000|     100|0.95590879|  PASSED  
          sts_serial|  11|    100000|     100|0.78448558|  PASSED  
          sts_serial|  12|    100000|     100|0.50553895|  PASSED  
          sts_serial|  12|    100000|     100|0.64116766|  PASSED  
