#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
      knuthran2|  3.22e+07  |2045458699|     32190  |      33162  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.28686520|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.63551318|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.44330818|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.38108812|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.34883898|  PASSED  
        diehard_opso|   0|   2097152|     100|0.55124796|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.16058111|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.92511577|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.75999276|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.06102235|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.10662650|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.93470299|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.66746882|  PASSED  
        diehard_sums|   0|       100|     100|0.05620624|  PASSED  
        diehard_runs|   0|    100000|     100|0.96138499|  PASSED  
        diehard_runs|   0|    100000|     100|0.69951421|  PASSED  
       diehard_craps|   0|    200000|     100|0.09611269|  PASSED  
       diehard_craps|   0|    200000|     100|0.11041451|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.74321042|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.33185697|  PASSED  
         sts_monobit|   1|    100000|     100|0.85931994|  PASSED  
            sts_runs|   2|    100000|     100|0.51131303|  PASSED  
          sts_serial|   1|    100000|     100|0.06608468|  PASSED  
          sts_serial|   2|    100000|     100|0.49983273|  PASSED  
          sts_serial|   3|    100000|     100|0.88673695|  PASSED  
          sts_serial|   3|    100000|     100|0.62420309|  PASSED  
          sts_serial|   4|    100000|     100|0.77990191|  PASSED  
          sts_serial|   4|    100000|     100|0.77641366|  PASSED  
          sts_serial|   5|    100000|     100|0.72823980|  PASSED  
          sts_serial|   5|    100000|     100|0.75085214|  PASSED  
          sts_serial|   6|    100000|     100|0.98353004|  PASSED  
          sts_serial|   6|    100000|     100|0.83330645|  PASSED  
          sts_serial|   7|    100000|     100|0.09397042|  PASSED  
          sts_serial|   7|    100000|     100|0.92901204|  PASSED  
          sts_serial|   8|    100000|     100|0.06680825|  PASSED  
          sts_serial|   8|    100000|     100|0.14513495|  PASSED  
          sts_serial|   9|    100000|     100|0.44519631|  PASSED  
          sts_serial|   9|    100000|     100|0.65849730|  PASSED  
          sts_serial|  10|    100000|     100|0.80410711|  PASSED  
          sts_serial|  10|    100000|     100|0.64537667|  PASSED  
          sts_serial|  11|    100000|     100|0.73471651|  PASSED  
          sts_serial|  11|    100000|     100|0.76059598|  PASSED  
          sts_serial|  12|    100000|     100|0.99948541|   WEAK   
          sts_serial|  12|    100000|     100|0.19491450|  PASSED  
          sts_serial|  13|    100000|     100|0.34445667|  PASSED  
          sts_serial|  13|    100000|     100|0.65558809|  PASSED  
          sts_serial|  14|    100000|     100|0.94974285|  PASSED  
          sts_serial|  14|    100000|     100|0.33805804|  PASSED  
          sts_serial|  15|    100000|     100|0.58138871|  PASSED  
          sts_serial|  15|    100000|     100|0.20712407|  PASSED  
          sts_serial|  16|    100000|     100|0.10011601|  PASSED  
          sts_serial|  16|    100000|     100|0.38543540|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.81699938|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.90709118|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.98594650|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.42255090|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.61194105|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.88430061|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.70017464|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.97400935|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.86317075|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.48397610|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.73889366|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.79747952|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.97393244|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.92248846|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.59520704|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.00199202|   WEAK   
    rgb_permutations|   2|    100000|     100|0.36565243|  PASSED  
    rgb_permutations|   3|    100000|     100|0.04612033|  PASSED  
    rgb_permutations|   4|    100000|     100|0.79093778|  PASSED  
    rgb_permutations|   5|    100000|     100|0.60607806|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.27149855|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.25293747|  PASSED  
