#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
       lehmer64|  2.87e+08  |1796998854|    286631  |     279571  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.35974426|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.54947308|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.31528199|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.13038734|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.93591044|  PASSED  
        diehard_opso|   0|   2097152|     100|0.33488061|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.00725200|  PASSED  
         diehard_dna|   0|   2097152|     100|0.57203263|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.52180267|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.81963205|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.26192817|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.54140639|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.61477042|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.96871839|  PASSED  
        diehard_sums|   0|       100|     100|0.00357290|   WEAK   
        diehard_sums|   0|       100|     200|0.00202865|   WEAK   
        diehard_sums|   0|       100|     300|0.00056116|   WEAK   
        diehard_sums|   0|       100|     400|0.00005798|   WEAK   
        diehard_sums|   0|       100|     500|0.00000265|   WEAK   
        diehard_sums|   0|       100|     600|0.00000036|  FAILED  
        diehard_runs|   0|    100000|     100|0.16453338|  PASSED  
        diehard_runs|   0|    100000|     100|0.65438214|  PASSED  
       diehard_craps|   0|    200000|     100|0.35084356|  PASSED  
       diehard_craps|   0|    200000|     100|0.21408792|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.68813709|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.93579900|  PASSED  
         sts_monobit|   1|    100000|     100|0.16718648|  PASSED  
            sts_runs|   2|    100000|     100|0.56116670|  PASSED  
          sts_serial|   1|    100000|     100|0.84574380|  PASSED  
          sts_serial|   2|    100000|     100|0.99484113|  PASSED  
          sts_serial|   3|    100000|     100|0.91825327|  PASSED  
          sts_serial|   3|    100000|     100|0.96825490|  PASSED  
          sts_serial|   4|    100000|     100|0.49293096|  PASSED  
          sts_serial|   4|    100000|     100|0.99906892|   WEAK   
          sts_serial|   5|    100000|     100|0.47359896|  PASSED  
          sts_serial|   5|    100000|     100|0.21049315|  PASSED  
          sts_serial|   6|    100000|     100|0.96355375|  PASSED  
          sts_serial|   6|    100000|     100|0.90068361|  PASSED  
          sts_serial|   7|    100000|     100|0.77103631|  PASSED  
          sts_serial|   7|    100000|     100|0.64353354|  PASSED  
          sts_serial|   8|    100000|     100|0.83803488|  PASSED  
          sts_serial|   8|    100000|     100|0.49290669|  PASSED  
          sts_serial|   9|    100000|     100|0.82755557|  PASSED  
          sts_serial|   9|    100000|     100|0.85057781|  PASSED  
          sts_serial|  10|    100000|     100|0.81117087|  PASSED  
          sts_serial|  10|    100000|     100|0.86125369|  PASSED  
          sts_serial|  11|    100000|     100|0.09868621|  PASSED  
          sts_serial|  11|    100000|     100|0.13160011|  PASSED  
          sts_serial|  12|    100000|     100|0.00217682|   WEAK   
          sts_serial|  12|    100000|     100|0.01481022|  PASSED  
          sts_serial|  13|    100000|     100|0.00655573|  PASSED  
          sts_serial|  13|    100000|     100|0.23003191|  PASSED  
          sts_serial|  14|    100000|     100|0.01422329|  PASSED  
          sts_serial|  14|    100000|     100|0.05792115|  PASSED  
          sts_serial|  15|    100000|     100|0.01444301|  PASSED  
          sts_serial|  15|    100000|     100|0.66469919|  PASSED  
          sts_serial|  16|    100000|     100|0.00458653|   WEAK   
          sts_serial|  16|    100000|     100|0.13766748|  PASSED  
          sts_serial|   1|    100000|     200|0.64129466|  PASSED  
          sts_serial|   2|    100000|     200|0.16662855|  PASSED  
          sts_serial|   3|    100000|     200|0.03889510|  PASSED  
          sts_serial|   3|    100000|     200|0.84332999|  PASSED  
          sts_serial|   4|    100000|     200|0.13755485|  PASSED  
          sts_serial|   4|    100000|     200|0.93451679|  PASSED  
          sts_serial|   5|    100000|     200|0.34837181|  PASSED  
          sts_serial|   5|    100000|     200|0.32318636|  PASSED  
          sts_serial|   6|    100000|     200|0.61005383|  PASSED  
          sts_serial|   6|    100000|     200|0.90041149|  PASSED  
          sts_serial|   7|    100000|     200|0.50386418|  PASSED  
          sts_serial|   7|    100000|     200|0.82982833|  PASSED  
          sts_serial|   8|    100000|     200|0.58886277|  PASSED  
