#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
            lxm|  5.27e+07  |3125761257|     52680  |      45928  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.85153644|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.52275700|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.63057542|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.44012077|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.40947981|  PASSED  
        diehard_opso|   0|   2097152|     100|0.33427774|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.43739072|  PASSED  
         diehard_dna|   0|   2097152|     100|0.34368964|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.75675732|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.02456117|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.60849546|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.06163755|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.98966760|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.47234906|  PASSED  
        diehard_sums|   0|       100|     100|0.41990314|  PASSED  
        diehard_runs|   0|    100000|     100|0.39697083|  PASSED  
        diehard_runs|   0|    100000|     100|0.12305967|  PASSED  
       diehard_craps|   0|    200000|     100|0.93126124|  PASSED  
       diehard_craps|   0|    200000|     100|0.62901394|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.33967911|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.89010296|  PASSED  
         sts_monobit|   1|    100000|     100|0.22786253|  PASSED  
            sts_runs|   2|    100000|     100|0.78100557|  PASSED  
          sts_serial|   1|    100000|     100|0.02636438|  PASSED  
          sts_serial|   2|    100000|     100|0.56290443|  PASSED  
          sts_serial|   3|    100000|     100|0.56953132|  PASSED  
          sts_serial|   3|    100000|     100|0.56692855|  PASSED  
          sts_serial|   4|    100000|     100|0.79863136|  PASSED  
          sts_serial|   4|    100000|     100|0.57008883|  PASSED  
          sts_serial|   5|    100000|     100|0.13214718|  PASSED  
          sts_serial|   5|    100000|     100|0.99297167|  PASSED  
          sts_serial|   6|    100000|     100|0.98750396|  PASSED  
          sts_serial|   6|    100000|     100|0.70948487|  PASSED  
          sts_serial|   7|    100000|     100|0.76227538|  PASSED  
          sts_serial|   7|    100000|     100|0.76249588|  PASSED  
          sts_serial|   8|    100000|     100|0.32554765|  PASSED  
          sts_serial|   8|    100000|     100|0.10895710|  PASSED  
          sts_serial|   9|    100000|     100|0.80600181|  PASSED  
          sts_serial|   9|    100000|     100|0.90478812|  PASSED  
          sts_serial|  10|    100000|     100|0.38251369|  PASSED  
          sts_serial|  10|    100000|     100|0.54747616|  PASSED  
          sts_serial|  11|    100000|     100|0.76847832|  PASSED  
          sts_serial|  11|    100000|     100|0.73343690|  PASSED  
          sts_serial|  12|    100000|     100|0.20228557|  PASSED  
          sts_serial|  12|    100000|     100|0.15650828|  PASSED  
          sts_serial|  13|    100000|     100|0.37688752|  PASSED  
          sts_serial|  13|    100000|     100|0.79774858|  PASSED  
          sts_serial|  14|    100000|     100|0.53735778|  PASSED  
          sts_serial|  14|    100000|     100|0.98904219|  PASSED  
          sts_serial|  15|    100000|     100|0.47881535|  PASSED  
          sts_serial|  15|    100000|     100|0.71631053|  PASSED  
          sts_serial|  16|    100000|     100|0.19093310|  PASSED  
          sts_serial|  16|    100000|     100|0.09619018|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.79779612|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.47075966|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.60044259|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.54187039|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.84939548|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.77038684|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.00298444|   WEAK   
         rgb_bitdist|   7|    100000|     200|0.06321063|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.71316517|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.27151677|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.99337573|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.95671120|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.08521128|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.11407605|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.60895810|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.77086868|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.40063134|  PASSED  
    rgb_permutations|   2|    100000|     100|0.80529402|  PASSED  
    rgb_permutations|   3|    100000|     100|0.28214054|  PASSED  
    rgb_permutations|   4|    100000|     100|0.58232277|  PASSED  
    rgb_permutations|   5|    100000|     100|0.66981096|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.65337571|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.09447776|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.83119801|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.70112423|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.17275219|  PASSED  
