#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
            lxm|  2.16e+08  | 169499543|    215959  |     205161  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.65497986|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.53210896|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.79224089|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.33420932|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.29750602|  PASSED  
        diehard_opso|   0|   2097152|     100|0.07671603|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.27023008|  PASSED  
         diehard_dna|   0|   2097152|     100|0.56231739|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.79053553|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.58553433|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.61281762|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.58669275|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.82257311|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.04412506|  PASSED  
        diehard_sums|   0|       100|     100|0.21418102|  PASSED  
        diehard_runs|   0|    100000|     100|0.14695357|  PASSED  
        diehard_runs|   0|    100000|     100|0.78110006|  PASSED  
       diehard_craps|   0|    200000|     100|0.48316703|  PASSED  
       diehard_craps|   0|    200000|     100|0.58297868|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.06604707|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.04439635|  PASSED  
         sts_monobit|   1|    100000|     100|0.27628973|  PASSED  
            sts_runs|   2|    100000|     100|0.92561408|  PASSED  
          sts_serial|   1|    100000|     100|0.68073437|  PASSED  
          sts_serial|   2|    100000|     100|0.66853614|  PASSED  
          sts_serial|   3|    100000|     100|0.49903011|  PASSED  
          sts_serial|   3|    100000|     100|0.10295006|  PASSED  
          sts_serial|   4|    100000|     100|0.95072116|  PASSED  
          sts_serial|   4|    100000|     100|0.94716474|  PASSED  
          sts_serial|   5|    100000|     100|0.40828285|  PASSED  
          sts_serial|   5|    100000|     100|0.28921412|  PASSED  
          sts_serial|   6|    100000|     100|0.33757565|  PASSED  
          sts_serial|   6|    100000|     100|0.93378713|  PASSED  
          sts_serial|   7|    100000|     100|0.72718003|  PASSED  
          sts_serial|   7|    100000|     100|0.77317397|  PASSED  
          sts_serial|   8|    100000|     100|0.34283395|  PASSED  
          sts_serial|   8|    100000|     100|0.10923558|  PASSED  
          sts_serial|   9|    100000|     100|0.63765049|  PASSED  
          sts_serial|   9|    100000|     100|0.93848128|  PASSED  
          sts_serial|  10|    100000|     100|0.25447931|  PASSED  
          sts_serial|  10|    100000|     100|0.37415307|  PASSED  
          sts_serial|  11|    100000|     100|0.72057899|  PASSED  
          sts_serial|  11|    100000|     100|0.07073366|  PASSED  
          sts_serial|  12|    100000|     100|0.01554623|  PASSED  
          sts_serial|  12|    100000|     100|0.04101240|  PASSED  
          sts_serial|  13|    100000|     100|0.00827747|  PASSED  
          sts_serial|  13|    100000|     100|0.74348263|  PASSED  
          sts_serial|  14|    100000|     100|0.02550127|  PASSED  
          sts_serial|  14|    100000|     100|0.03266310|  PASSED  
          sts_serial|  15|    100000|     100|0.08587372|  PASSED  
          sts_serial|  15|    100000|     100|0.71927855|  PASSED  
          sts_serial|  16|    100000|     100|0.00727855|  PASSED  
          sts_serial|  16|    100000|     100|0.10770971|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.98566280|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.31670059|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.26472582|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.32561445|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.25562027|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.69091738|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.23496262|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.09626446|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.52553183|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.98933393|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.60695486|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.29911194|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.51475475|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.21804483|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.37445950|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.97976309|  PASSED  
    rgb_permutations|   2|    100000|     100|0.56090077|  PASSED  
    rgb_permutations|   3|    100000|     100|0.84801849|  PASSED  
    rgb_permutations|   4|    100000|     100|0.08671353|  PASSED  
    rgb_permutations|   5|    100000|     100|0.08241448|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.22748662|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.41123859|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.34817907|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.48136872|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.08392227|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.35243019|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.15317305|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.07927151|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.98523301|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.76627890|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.74327536|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.96273881|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.20435838|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.08640391|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.02043074|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.39624377|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.33611283|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.36720482|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.87520509|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.61496478|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.89316293|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.63764457|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.89490670|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.72567451|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.21711430|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.68585800|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.91846083|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.54292941|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.58202253|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.11653648|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.97271141|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.91529543|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.11664080|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.56374616|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.06013080|  PASSED  
             dab_dct| 256|     50000|       1|0.67783890|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.43319601|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.68683541|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.36986812|  PASSED  
Preparing to run test 210.  ntuple = 0
