#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
         minstd|  1.41e+08  |2091893748|    141091  |     145448  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.58594513|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.99950058|   WEAK   
  diehard_rank_32x32|   0|     40000|     100|0.39860512|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.85554196|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.97285698|  PASSED  
        diehard_opso|   0|   2097152|     100|0.00000108|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.00000416|   WEAK   
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.99511716|   WEAK   
diehard_count_1s_byt|   0|    256000|     100|0.99967929|   WEAK   
 diehard_parking_lot|   0|     12000|     100|0.08134334|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.23299175|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.17247608|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.55321425|  PASSED  
        diehard_sums|   0|       100|     100|0.09368342|  PASSED  
        diehard_runs|   0|    100000|     100|0.99073780|  PASSED  
        diehard_runs|   0|    100000|     100|0.98420288|  PASSED  
       diehard_craps|   0|    200000|     100|0.97575726|  PASSED  
       diehard_craps|   0|    200000|     100|0.54902986|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.80527449|  PASSED  
         sts_monobit|   1|    100000|     100|0.73103159|  PASSED  
            sts_runs|   2|    100000|     100|0.90452910|  PASSED  
          sts_serial|   1|    100000|     100|0.35732494|  PASSED  
          sts_serial|   2|    100000|     100|0.94246900|  PASSED  
          sts_serial|   3|    100000|     100|0.14959270|  PASSED  
          sts_serial|   3|    100000|     100|0.03493513|  PASSED  
          sts_serial|   4|    100000|     100|0.48491316|  PASSED  
          sts_serial|   4|    100000|     100|0.65155679|  PASSED  
          sts_serial|   5|    100000|     100|0.85444832|  PASSED  
          sts_serial|   5|    100000|     100|0.76687547|  PASSED  
          sts_serial|   6|    100000|     100|0.63783622|  PASSED  
          sts_serial|   6|    100000|     100|0.29745642|  PASSED  
          sts_serial|   7|    100000|     100|0.15843595|  PASSED  
          sts_serial|   7|    100000|     100|0.23640886|  PASSED  
          sts_serial|   8|    100000|     100|0.02482036|  PASSED  
          sts_serial|   8|    100000|     100|0.09038869|  PASSED  
          sts_serial|   9|    100000|     100|0.10900322|  PASSED  
          sts_serial|   9|    100000|     100|0.88445970|  PASSED  
          sts_serial|  10|    100000|     100|0.15319406|  PASSED  
          sts_serial|  10|    100000|     100|0.68490179|  PASSED  
          sts_serial|  11|    100000|     100|0.38649809|  PASSED  
          sts_serial|  11|    100000|     100|0.52459332|  PASSED  
          sts_serial|  12|    100000|     100|0.37256644|  PASSED  
          sts_serial|  12|    100000|     100|0.81566158|  PASSED  
          sts_serial|  13|    100000|     100|0.41833717|  PASSED  
          sts_serial|  13|    100000|     100|0.28294751|  PASSED  
          sts_serial|  14|    100000|     100|0.04105416|  PASSED  
          sts_serial|  14|    100000|     100|0.18322979|  PASSED  
          sts_serial|  15|    100000|     100|0.01218389|  PASSED  
          sts_serial|  15|    100000|     100|0.29021013|  PASSED  
          sts_serial|  16|    100000|     100|0.02197182|  PASSED  
          sts_serial|  16|    100000|     100|0.35718172|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.31956671|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.89245233|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.83627153|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.96379129|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.94706167|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.60117620|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.44602709|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.69086851|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.80569425|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.97414678|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.90465733|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.53779075|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.00000000|  FAILED  
rgb_minimum_distance|   3|     10000|    1000|0.00000000|  FAILED  
rgb_minimum_distance|   4|     10000|    1000|0.00000000|  FAILED  
rgb_minimum_distance|   5|     10000|    1000|0.00000000|  FAILED  
    rgb_permutations|   2|    100000|     100|0.49881658|  PASSED  
    rgb_permutations|   3|    100000|     100|0.96402197|  PASSED  
    rgb_permutations|   4|    100000|     100|0.79519323|  PASSED  
    rgb_permutations|   5|    100000|     100|0.50343997|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.85537769|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.97897184|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.99499751|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.76058739|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.58539695|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.00755187|  PASSED  
