#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
   mt19937_1998|  1.06e+08  | 763503182|    106327  |     101035  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.27886763|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.55796837|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.05187038|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.57191022|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.74486962|  PASSED  
        diehard_opso|   0|   2097152|     100|0.22806718|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.92487564|  PASSED  
         diehard_dna|   0|   2097152|     100|0.45304799|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.80838976|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.53836055|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.64976124|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.37836864|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.73185886|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.64126691|  PASSED  
        diehard_sums|   0|       100|     100|0.03099653|  PASSED  
        diehard_runs|   0|    100000|     100|0.73791958|  PASSED  
        diehard_runs|   0|    100000|     100|0.42319102|  PASSED  
       diehard_craps|   0|    200000|     100|0.48417186|  PASSED  
       diehard_craps|   0|    200000|     100|0.99152787|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.08277299|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.12164187|  PASSED  
         sts_monobit|   1|    100000|     100|0.95169504|  PASSED  
            sts_runs|   2|    100000|     100|0.49324247|  PASSED  
          sts_serial|   1|    100000|     100|0.77264550|  PASSED  
          sts_serial|   2|    100000|     100|0.25225328|  PASSED  
          sts_serial|   3|    100000|     100|0.00669008|  PASSED  
          sts_serial|   3|    100000|     100|0.15292000|  PASSED  
          sts_serial|   4|    100000|     100|0.17247420|  PASSED  
          sts_serial|   4|    100000|     100|0.59695085|  PASSED  
          sts_serial|   5|    100000|     100|0.06437358|  PASSED  
          sts_serial|   5|    100000|     100|0.69588700|  PASSED  
          sts_serial|   6|    100000|     100|0.63727496|  PASSED  
          sts_serial|   6|    100000|     100|0.90005487|  PASSED  
          sts_serial|   7|    100000|     100|0.18944339|  PASSED  
          sts_serial|   7|    100000|     100|0.09250134|  PASSED  
          sts_serial|   8|    100000|     100|0.97328700|  PASSED  
          sts_serial|   8|    100000|     100|0.19501825|  PASSED  
          sts_serial|   9|    100000|     100|0.67506427|  PASSED  
          sts_serial|   9|    100000|     100|0.12406094|  PASSED  
          sts_serial|  10|    100000|     100|0.98932093|  PASSED  
          sts_serial|  10|    100000|     100|0.33007749|  PASSED  
          sts_serial|  11|    100000|     100|0.57894789|  PASSED  
          sts_serial|  11|    100000|     100|0.50058749|  PASSED  
          sts_serial|  12|    100000|     100|0.94834877|  PASSED  
          sts_serial|  12|    100000|     100|0.84820152|  PASSED  
          sts_serial|  13|    100000|     100|0.11059275|  PASSED  
          sts_serial|  13|    100000|     100|0.01306653|  PASSED  
          sts_serial|  14|    100000|     100|0.03540062|  PASSED  
          sts_serial|  14|    100000|     100|0.96735958|  PASSED  
          sts_serial|  15|    100000|     100|0.16955496|  PASSED  
          sts_serial|  15|    100000|     100|0.99085538|  PASSED  
          sts_serial|  16|    100000|     100|0.23236291|  PASSED  
          sts_serial|  16|    100000|     100|0.48043804|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.81815122|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.83962745|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.68304622|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.31844390|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.56298426|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.03116804|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.50757246|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.64181817|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.26318678|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.10074848|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.88217009|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.85820739|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.39969127|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.99347623|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.96739387|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.05183765|  PASSED  
    rgb_permutations|   2|    100000|     100|0.23285590|  PASSED  
    rgb_permutations|   3|    100000|     100|0.39028229|  PASSED  
    rgb_permutations|   4|    100000|     100|0.56769484|  PASSED  
    rgb_permutations|   5|    100000|     100|0.79454262|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.41733877|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.87370889|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.51500066|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.68862821|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.26687194|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.54069810|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.01548876|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.99195721|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.70960924|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.91664807|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.97572916|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.10119455|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.39071832|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.63436020|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.58295401|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.19423244|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.62840365|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.52102480|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.88481743|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.27899717|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.52628134|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.47971071|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.23846684|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.87193241|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.27994079|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.32086983|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.66945403|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.93312845|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.38721828|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.71068738|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.99779876|   WEAK   
      rgb_lagged_sum|  31|   1000000|     100|0.58207411|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.60005209|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.47894343|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.94499253|  PASSED  
             dab_dct| 256|     50000|       1|0.26909581|  PASSED  
Preparing to run test 207.  ntuple = 0
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.30521748|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.67789963|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.28445314|  PASSED  
Preparing to run test 210.  ntuple = 0
