#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
   mt19937_1999|  1.25e+08  |3112878044|    125415  |     106326  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.34845867|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.13643019|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.14727097|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.27365339|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.47648399|  PASSED  
        diehard_opso|   0|   2097152|     100|0.81155888|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.54080573|  PASSED  
         diehard_dna|   0|   2097152|     100|0.40622930|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.43140033|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.54459420|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.30667204|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.26186755|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.78230795|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.90684948|  PASSED  
        diehard_sums|   0|       100|     100|0.23356906|  PASSED  
        diehard_runs|   0|    100000|     100|0.60348555|  PASSED  
        diehard_runs|   0|    100000|     100|0.39039441|  PASSED  
       diehard_craps|   0|    200000|     100|0.48931311|  PASSED  
       diehard_craps|   0|    200000|     100|0.18800692|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.39319056|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.94437684|  PASSED  
         sts_monobit|   1|    100000|     100|0.54414440|  PASSED  
            sts_runs|   2|    100000|     100|0.30876340|  PASSED  
          sts_serial|   1|    100000|     100|0.90105539|  PASSED  
          sts_serial|   2|    100000|     100|0.31538746|  PASSED  
          sts_serial|   3|    100000|     100|0.20534894|  PASSED  
          sts_serial|   3|    100000|     100|0.36055301|  PASSED  
          sts_serial|   4|    100000|     100|0.10842276|  PASSED  
          sts_serial|   4|    100000|     100|0.92737122|  PASSED  
          sts_serial|   5|    100000|     100|0.12812663|  PASSED  
          sts_serial|   5|    100000|     100|0.47635952|  PASSED  
          sts_serial|   6|    100000|     100|0.41950367|  PASSED  
          sts_serial|   6|    100000|     100|0.01738906|  PASSED  
          sts_serial|   7|    100000|     100|0.65298857|  PASSED  
          sts_serial|   7|    100000|     100|0.96838724|  PASSED  
          sts_serial|   8|    100000|     100|0.38094032|  PASSED  
          sts_serial|   8|    100000|     100|0.53183897|  PASSED  
          sts_serial|   9|    100000|     100|0.57762255|  PASSED  
          sts_serial|   9|    100000|     100|0.98617602|  PASSED  
          sts_serial|  10|    100000|     100|0.10324404|  PASSED  
          sts_serial|  10|    100000|     100|0.68524088|  PASSED  
          sts_serial|  11|    100000|     100|0.99223548|  PASSED  
          sts_serial|  11|    100000|     100|0.78113170|  PASSED  
          sts_serial|  12|    100000|     100|0.43743292|  PASSED  
          sts_serial|  12|    100000|     100|0.90872857|  PASSED  
          sts_serial|  13|    100000|     100|0.46788547|  PASSED  
          sts_serial|  13|    100000|     100|0.29817593|  PASSED  
          sts_serial|  14|    100000|     100|0.79046611|  PASSED  
          sts_serial|  14|    100000|     100|0.34600903|  PASSED  
          sts_serial|  15|    100000|     100|0.95449517|  PASSED  
          sts_serial|  15|    100000|     100|0.26704506|  PASSED  
          sts_serial|  16|    100000|     100|0.55925075|  PASSED  
          sts_serial|  16|    100000|     100|0.63091123|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.97534312|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.67314046|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.51031413|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.79349519|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.63666174|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.08643925|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.37751322|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.94293579|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.80307795|  PASSED  
