#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
   mt19937_1999|  1.22e+08  |2692300988|    122372  |     111758  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.73794315|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.66455697|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.74270150|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.59236791|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.84889708|  PASSED  
        diehard_opso|   0|   2097152|     100|0.95469438|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.19850937|  PASSED  
         diehard_dna|   0|   2097152|     100|0.51175214|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.40068536|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.48666747|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.83939978|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.77941796|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.98247692|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.96980776|  PASSED  
        diehard_sums|   0|       100|     100|0.95635258|  PASSED  
        diehard_runs|   0|    100000|     100|0.02830006|  PASSED  
        diehard_runs|   0|    100000|     100|0.70457618|  PASSED  
       diehard_craps|   0|    200000|     100|0.33347519|  PASSED  
       diehard_craps|   0|    200000|     100|0.38005505|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.98317837|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.71907861|  PASSED  
         sts_monobit|   1|    100000|     100|0.90753238|  PASSED  
            sts_runs|   2|    100000|     100|0.69774173|  PASSED  
          sts_serial|   1|    100000|     100|0.18763138|  PASSED  
          sts_serial|   2|    100000|     100|0.74633270|  PASSED  
          sts_serial|   3|    100000|     100|0.85066928|  PASSED  
          sts_serial|   3|    100000|     100|0.41937075|  PASSED  
          sts_serial|   4|    100000|     100|0.62618900|  PASSED  
          sts_serial|   4|    100000|     100|0.05893910|  PASSED  
          sts_serial|   5|    100000|     100|0.05121998|  PASSED  
          sts_serial|   5|    100000|     100|0.36450635|  PASSED  
          sts_serial|   6|    100000|     100|0.65064441|  PASSED  
          sts_serial|   6|    100000|     100|0.57376486|  PASSED  
          sts_serial|   7|    100000|     100|0.35826391|  PASSED  
          sts_serial|   7|    100000|     100|0.92092698|  PASSED  
          sts_serial|   8|    100000|     100|0.15583058|  PASSED  
          sts_serial|   8|    100000|     100|0.74370904|  PASSED  
          sts_serial|   9|    100000|     100|0.94440299|  PASSED  
          sts_serial|   9|    100000|     100|0.27922005|  PASSED  
          sts_serial|  10|    100000|     100|0.98494094|  PASSED  
          sts_serial|  10|    100000|     100|0.94288608|  PASSED  
          sts_serial|  11|    100000|     100|0.71894697|  PASSED  
          sts_serial|  11|    100000|     100|0.96491324|  PASSED  
          sts_serial|  12|    100000|     100|0.79042193|  PASSED  
          sts_serial|  12|    100000|     100|0.39245048|  PASSED  
          sts_serial|  13|    100000|     100|0.66414497|  PASSED  
          sts_serial|  13|    100000|     100|0.01119783|  PASSED  
          sts_serial|  14|    100000|     100|0.30804878|  PASSED  
          sts_serial|  14|    100000|     100|0.32273267|  PASSED  
          sts_serial|  15|    100000|     100|0.88634413|  PASSED  
          sts_serial|  15|    100000|     100|0.10415581|  PASSED  
          sts_serial|  16|    100000|     100|0.99822281|   WEAK   
          sts_serial|  16|    100000|     100|0.94163646|  PASSED  
          sts_serial|   1|    100000|     200|0.30649408|  PASSED  
          sts_serial|   2|    100000|     200|0.95633021|  PASSED  
          sts_serial|   3|    100000|     200|0.21465382|  PASSED  
          sts_serial|   3|    100000|     200|0.01003171|  PASSED  
          sts_serial|   4|    100000|     200|0.80292249|  PASSED  
          sts_serial|   4|    100000|     200|0.09337334|  PASSED  
          sts_serial|   5|    100000|     200|0.33970541|  PASSED  
          sts_serial|   5|    100000|     200|0.37145500|  PASSED  
          sts_serial|   6|    100000|     200|0.69893873|  PASSED  
          sts_serial|   6|    100000|     200|0.52353548|  PASSED  
          sts_serial|   7|    100000|     200|0.47227584|  PASSED  
          sts_serial|   7|    100000|     200|0.78159202|  PASSED  
          sts_serial|   8|    100000|     200|0.86547422|  PASSED  
          sts_serial|   8|    100000|     200|0.78587204|  PASSED  
          sts_serial|   9|    100000|     200|0.52328161|  PASSED  
          sts_serial|   9|    100000|     200|0.22715403|  PASSED  
          sts_serial|  10|    100000|     200|0.90574811|  PASSED  
          sts_serial|  10|    100000|     200|0.97740421|  PASSED  
          sts_serial|  11|    100000|     200|0.29113967|  PASSED  
          sts_serial|  11|    100000|     200|0.84607970|  PASSED  
          sts_serial|  12|    100000|     200|0.88833883|  PASSED  
          sts_serial|  12|    100000|     200|0.76338557|  PASSED  
          sts_serial|  13|    100000|     200|0.96488899|  PASSED  
          sts_serial|  13|    100000|     200|0.04729156|  PASSED  
          sts_serial|  14|    100000|     200|0.50396324|  PASSED  
          sts_serial|  14|    100000|     200|0.39667606|  PASSED  
          sts_serial|  15|    100000|     200|0.37192341|  PASSED  
          sts_serial|  15|    100000|     200|0.40836954|  PASSED  
          sts_serial|  16|    100000|     200|0.99893376|   WEAK   
          sts_serial|  16|    100000|     200|0.64974465|  PASSED  
          sts_serial|   1|    100000|     300|0.65391220|  PASSED  
          sts_serial|   2|    100000|     300|0.96135096|  PASSED  
          sts_serial|   3|    100000|     300|0.18079887|  PASSED  
          sts_serial|   3|    100000|     300|0.01151259|  PASSED  
          sts_serial|   4|    100000|     300|0.88529391|  PASSED  
          sts_serial|   4|    100000|     300|0.42464898|  PASSED  
          sts_serial|   5|    100000|     300|0.18878304|  PASSED  
          sts_serial|   5|    100000|     300|0.61238216|  PASSED  
          sts_serial|   6|    100000|     300|0.43242859|  PASSED  
          sts_serial|   6|    100000|     300|0.29452654|  PASSED  
          sts_serial|   7|    100000|     300|0.77286687|  PASSED  
          sts_serial|   7|    100000|     300|0.54391012|  PASSED  
          sts_serial|   8|    100000|     300|0.90164234|  PASSED  
          sts_serial|   8|    100000|     300|0.91108311|  PASSED  
          sts_serial|   9|    100000|     300|0.14314012|  PASSED  
          sts_serial|   9|    100000|     300|0.02706110|  PASSED  
          sts_serial|  10|    100000|     300|0.45204940|  PASSED  
          sts_serial|  10|    100000|     300|0.82090188|  PASSED  
          sts_serial|  11|    100000|     300|0.30044751|  PASSED  
          sts_serial|  11|    100000|     300|0.89399184|  PASSED  
          sts_serial|  12|    100000|     300|0.98122935|  PASSED  
          sts_serial|  12|    100000|     300|0.49950273|  PASSED  
          sts_serial|  13|    100000|     300|0.91419091|  PASSED  
          sts_serial|  13|    100000|     300|0.19556817|  PASSED  
          sts_serial|  14|    100000|     300|0.58919378|  PASSED  
          sts_serial|  14|    100000|     300|0.98202905|  PASSED  
          sts_serial|  15|    100000|     300|0.31977811|  PASSED  
          sts_serial|  15|    100000|     300|0.36401870|  PASSED  
          sts_serial|  16|    100000|     300|0.70397207|  PASSED  
          sts_serial|  16|    100000|     300|0.80577646|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.97927183|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.55921269|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.77660598|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.46255265|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.40787452|  PASSED  
