#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
        mt19937|  1.18e+08  |3414920437|    118291  |     111515  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.93115153|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.52334030|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.79472324|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.74332325|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.56285211|  PASSED  
        diehard_opso|   0|   2097152|     100|0.23428374|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.76639111|  PASSED  
         diehard_dna|   0|   2097152|     100|0.52073127|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.13624799|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.48547500|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.90162649|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.38143605|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.63530864|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.91844859|  PASSED  
        diehard_sums|   0|       100|     100|0.10764297|  PASSED  
        diehard_runs|   0|    100000|     100|0.94927934|  PASSED  
        diehard_runs|   0|    100000|     100|0.75565074|  PASSED  
       diehard_craps|   0|    200000|     100|0.43328306|  PASSED  
       diehard_craps|   0|    200000|     100|0.58551451|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.39000948|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.98789835|  PASSED  
         sts_monobit|   1|    100000|     100|0.94673469|  PASSED  
            sts_runs|   2|    100000|     100|0.96760426|  PASSED  
          sts_serial|   1|    100000|     100|0.74043185|  PASSED  
          sts_serial|   2|    100000|     100|0.91273795|  PASSED  
          sts_serial|   3|    100000|     100|0.58855972|  PASSED  
          sts_serial|   3|    100000|     100|0.58442959|  PASSED  
          sts_serial|   4|    100000|     100|0.99056171|  PASSED  
          sts_serial|   4|    100000|     100|0.24987128|  PASSED  
          sts_serial|   5|    100000|     100|0.45823231|  PASSED  
          sts_serial|   5|    100000|     100|0.61246527|  PASSED  
          sts_serial|   6|    100000|     100|0.95015292|  PASSED  
          sts_serial|   6|    100000|     100|0.50649131|  PASSED  
          sts_serial|   7|    100000|     100|0.73235272|  PASSED  
          sts_serial|   7|    100000|     100|0.47233565|  PASSED  
          sts_serial|   8|    100000|     100|0.65461320|  PASSED  
          sts_serial|   8|    100000|     100|0.45337838|  PASSED  
          sts_serial|   9|    100000|     100|0.80791832|  PASSED  
          sts_serial|   9|    100000|     100|0.36131602|  PASSED  
          sts_serial|  10|    100000|     100|0.09837277|  PASSED  
          sts_serial|  10|    100000|     100|0.74539207|  PASSED  
          sts_serial|  11|    100000|     100|0.28754088|  PASSED  
          sts_serial|  11|    100000|     100|0.49843612|  PASSED  
          sts_serial|  12|    100000|     100|0.67826188|  PASSED  
          sts_serial|  12|    100000|     100|0.44376885|  PASSED  
          sts_serial|  13|    100000|     100|0.06727862|  PASSED  
          sts_serial|  13|    100000|     100|0.46682798|  PASSED  
          sts_serial|  14|    100000|     100|0.55410204|  PASSED  
          sts_serial|  14|    100000|     100|0.20016453|  PASSED  
          sts_serial|  15|    100000|     100|0.82439656|  PASSED  
          sts_serial|  15|    100000|     100|0.95720584|  PASSED  
          sts_serial|  16|    100000|     100|0.23603110|  PASSED  
          sts_serial|  16|    100000|     100|0.03824923|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.48553752|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.46605770|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.12821871|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.30257364|  PASSED  
