#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
           mt64|  2.09e+08  | 144281753|    209086  |     208872  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.53967945|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.99376298|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.53102840|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.57284724|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.19180103|  PASSED  
        diehard_opso|   0|   2097152|     100|0.95107934|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.95388955|  PASSED  
         diehard_dna|   0|   2097152|     100|0.40562611|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.67709838|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.35004430|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.96238980|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.42409595|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.84630891|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.36533552|  PASSED  
        diehard_sums|   0|       100|     100|0.24236657|  PASSED  
        diehard_runs|   0|    100000|     100|0.54974326|  PASSED  
        diehard_runs|   0|    100000|     100|0.39875566|  PASSED  
       diehard_craps|   0|    200000|     100|0.17971200|  PASSED  
       diehard_craps|   0|    200000|     100|0.85233998|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.34546258|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.34526698|  PASSED  
         sts_monobit|   1|    100000|     100|0.77127383|  PASSED  
            sts_runs|   2|    100000|     100|0.68243030|  PASSED  
          sts_serial|   1|    100000|     100|0.78571586|  PASSED  
          sts_serial|   2|    100000|     100|0.30448037|  PASSED  
          sts_serial|   3|    100000|     100|0.99413570|  PASSED  
          sts_serial|   3|    100000|     100|0.87316632|  PASSED  
          sts_serial|   4|    100000|     100|0.47032786|  PASSED  
          sts_serial|   4|    100000|     100|0.65621114|  PASSED  
          sts_serial|   5|    100000|     100|0.97346209|  PASSED  
          sts_serial|   5|    100000|     100|0.94983445|  PASSED  
          sts_serial|   6|    100000|     100|0.77023664|  PASSED  
          sts_serial|   6|    100000|     100|0.92470249|  PASSED  
          sts_serial|   7|    100000|     100|0.16993933|  PASSED  
          sts_serial|   7|    100000|     100|0.55638683|  PASSED  
          sts_serial|   8|    100000|     100|0.57141676|  PASSED  
          sts_serial|   8|    100000|     100|0.61887974|  PASSED  
          sts_serial|   9|    100000|     100|0.26971198|  PASSED  
          sts_serial|   9|    100000|     100|0.73921823|  PASSED  
          sts_serial|  10|    100000|     100|0.91682285|  PASSED  
          sts_serial|  10|    100000|     100|0.57213902|  PASSED  
          sts_serial|  11|    100000|     100|0.78418298|  PASSED  
          sts_serial|  11|    100000|     100|0.32213346|  PASSED  
          sts_serial|  12|    100000|     100|0.61429519|  PASSED  
          sts_serial|  12|    100000|     100|0.52394192|  PASSED  
          sts_serial|  13|    100000|     100|0.47493459|  PASSED  
          sts_serial|  13|    100000|     100|0.19049501|  PASSED  
          sts_serial|  14|    100000|     100|0.48121250|  PASSED  
          sts_serial|  14|    100000|     100|0.99148686|  PASSED  
          sts_serial|  15|    100000|     100|0.76182384|  PASSED  
          sts_serial|  15|    100000|     100|0.91021648|  PASSED  
          sts_serial|  16|    100000|     100|0.82135950|  PASSED  
          sts_serial|  16|    100000|     100|0.66104282|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.97730701|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.43457740|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.15305215|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.20593216|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.25689655|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.75060206|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.16264390|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.65907113|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.84151035|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.86822647|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.32165619|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.88657018|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.59775996|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.67903825|  PASSED  
