#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
          pcg64|  2.37e+08  | 642802961|    237129  |     227795  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.33347960|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.77286515|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.96091975|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.32637849|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.86127736|  PASSED  
        diehard_opso|   0|   2097152|     100|0.61868328|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.43282079|  PASSED  
         diehard_dna|   0|   2097152|     100|0.95624468|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.79972001|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.98460532|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.13699196|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.14136225|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.30210099|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.44610947|  PASSED  
        diehard_sums|   0|       100|     100|0.45598973|  PASSED  
        diehard_runs|   0|    100000|     100|0.88362992|  PASSED  
        diehard_runs|   0|    100000|     100|0.57363399|  PASSED  
       diehard_craps|   0|    200000|     100|0.97185154|  PASSED  
       diehard_craps|   0|    200000|     100|0.10768362|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.75592935|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.47854263|  PASSED  
         sts_monobit|   1|    100000|     100|0.30755941|  PASSED  
            sts_runs|   2|    100000|     100|0.13701664|  PASSED  
          sts_serial|   1|    100000|     100|0.33700121|  PASSED  
          sts_serial|   2|    100000|     100|0.50534709|  PASSED  
          sts_serial|   3|    100000|     100|0.22737244|  PASSED  
          sts_serial|   3|    100000|     100|0.07573844|  PASSED  
          sts_serial|   4|    100000|     100|0.28275285|  PASSED  
          sts_serial|   4|    100000|     100|0.97257662|  PASSED  
          sts_serial|   5|    100000|     100|0.38367500|  PASSED  
          sts_serial|   5|    100000|     100|0.44059909|  PASSED  
          sts_serial|   6|    100000|     100|0.70634606|  PASSED  
          sts_serial|   6|    100000|     100|0.67896907|  PASSED  
          sts_serial|   7|    100000|     100|0.22096682|  PASSED  
          sts_serial|   7|    100000|     100|0.86843943|  PASSED  
          sts_serial|   8|    100000|     100|0.26646960|  PASSED  
          sts_serial|   8|    100000|     100|0.12129909|  PASSED  
          sts_serial|   9|    100000|     100|0.05909655|  PASSED  
          sts_serial|   9|    100000|     100|0.15061343|  PASSED  
          sts_serial|  10|    100000|     100|0.01261308|  PASSED  
          sts_serial|  10|    100000|     100|0.31626093|  PASSED  
          sts_serial|  11|    100000|     100|0.00239122|   WEAK   
          sts_serial|  11|    100000|     100|0.10481740|  PASSED  
          sts_serial|  12|    100000|     100|0.15641406|  PASSED  
          sts_serial|  12|    100000|     100|0.76760826|  PASSED  
          sts_serial|  13|    100000|     100|0.44062658|  PASSED  
          sts_serial|  13|    100000|     100|0.59298202|  PASSED  
          sts_serial|  14|    100000|     100|0.68217957|  PASSED  
          sts_serial|  14|    100000|     100|0.20097430|  PASSED  
          sts_serial|  15|    100000|     100|0.41404042|  PASSED  
          sts_serial|  15|    100000|     100|0.49041795|  PASSED  
          sts_serial|  16|    100000|     100|0.70672402|  PASSED  
          sts_serial|  16|    100000|     100|0.78727734|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.19187314|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.94239009|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.51190930|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.98904351|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.00639864|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.54290563|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.14205909|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.67560670|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.43057725|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.48911400|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.23269525|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.89382358|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.60461159|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.24604322|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.41156537|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.03879275|  PASSED  
    rgb_permutations|   2|    100000|     100|0.48434431|  PASSED  
    rgb_permutations|   3|    100000|     100|0.58807698|  PASSED  
    rgb_permutations|   4|    100000|     100|0.15577601|  PASSED  
    rgb_permutations|   5|    100000|     100|0.47736122|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.00163090|   WEAK   
      rgb_lagged_sum|   1|   1000000|     100|0.17105369|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.70645222|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.61286708|  PASSED  
