#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
          pcg64|  1.90e+08  |3365061682|    189602  |     180792  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.79328693|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.14291293|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.79087749|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.27261630|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.78913015|  PASSED  
        diehard_opso|   0|   2097152|     100|0.16117608|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.88740917|  PASSED  
         diehard_dna|   0|   2097152|     100|0.93847919|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.23620493|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.10519785|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.83367635|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.80309602|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.37225750|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.27907053|  PASSED  
        diehard_sums|   0|       100|     100|0.04021576|  PASSED  
        diehard_runs|   0|    100000|     100|0.01392169|  PASSED  
        diehard_runs|   0|    100000|     100|0.52910782|  PASSED  
       diehard_craps|   0|    200000|     100|0.42212161|  PASSED  
       diehard_craps|   0|    200000|     100|0.42324740|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.37556265|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.89783714|  PASSED  
         sts_monobit|   1|    100000|     100|0.64473387|  PASSED  
            sts_runs|   2|    100000|     100|0.55629967|  PASSED  
          sts_serial|   1|    100000|     100|0.70340633|  PASSED  
          sts_serial|   2|    100000|     100|0.78758257|  PASSED  
          sts_serial|   3|    100000|     100|0.91192590|  PASSED  
          sts_serial|   3|    100000|     100|0.75769972|  PASSED  
          sts_serial|   4|    100000|     100|0.98868443|  PASSED  
          sts_serial|   4|    100000|     100|0.22721026|  PASSED  
          sts_serial|   5|    100000|     100|0.66115419|  PASSED  
          sts_serial|   5|    100000|     100|0.68667587|  PASSED  
          sts_serial|   6|    100000|     100|0.93980434|  PASSED  
          sts_serial|   6|    100000|     100|0.84784414|  PASSED  
          sts_serial|   7|    100000|     100|0.57836247|  PASSED  
          sts_serial|   7|    100000|     100|0.38117011|  PASSED  
          sts_serial|   8|    100000|     100|0.88738407|  PASSED  
          sts_serial|   8|    100000|     100|0.95149361|  PASSED  
          sts_serial|   9|    100000|     100|0.99927842|   WEAK   
          sts_serial|   9|    100000|     100|0.61065496|  PASSED  
          sts_serial|  10|    100000|     100|0.74065161|  PASSED  
