#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
     random-bsd|  2.49e+08  |3082720033|    248731  |     226269  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.40509115|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.32535017|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.00124866|   WEAK   
    diehard_rank_6x8|   0|    100000|     100|0.00211979|   WEAK   
   diehard_bitstream|   0|   2097152|     100|0.04699817|  PASSED  
        diehard_opso|   0|   2097152|     100|0.59905122|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.98735794|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.51923874|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.26428666|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.17333962|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.30298057|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.28559503|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00000000|  FAILED  
        diehard_sums|   0|       100|     100|0.12566401|  PASSED  
        diehard_runs|   0|    100000|     100|0.02180606|  PASSED  
        diehard_runs|   0|    100000|     100|0.80793369|  PASSED  
       diehard_craps|   0|    200000|     100|0.38220991|  PASSED  
       diehard_craps|   0|    200000|     100|0.58698048|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.79202836|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.20425626|  PASSED  
         sts_monobit|   1|    100000|     100|0.99448800|  PASSED  
            sts_runs|   2|    100000|     100|0.66094522|  PASSED  
          sts_serial|   1|    100000|     100|0.88985846|  PASSED  
          sts_serial|   2|    100000|     100|0.67031578|  PASSED  
          sts_serial|   3|    100000|     100|0.26463516|  PASSED  
          sts_serial|   3|    100000|     100|0.86011896|  PASSED  
          sts_serial|   4|    100000|     100|0.29265319|  PASSED  
          sts_serial|   4|    100000|     100|0.09678828|  PASSED  
          sts_serial|   5|    100000|     100|0.70917814|  PASSED  
          sts_serial|   5|    100000|     100|0.39619426|  PASSED  
          sts_serial|   6|    100000|     100|0.64213233|  PASSED  
          sts_serial|   6|    100000|     100|0.88111375|  PASSED  
          sts_serial|   7|    100000|     100|0.95315038|  PASSED  
          sts_serial|   7|    100000|     100|0.84889565|  PASSED  
          sts_serial|   8|    100000|     100|0.81721667|  PASSED  
          sts_serial|   8|    100000|     100|0.63637190|  PASSED  
          sts_serial|   9|    100000|     100|0.02583261|  PASSED  
          sts_serial|   9|    100000|     100|0.02333685|  PASSED  
          sts_serial|  10|    100000|     100|0.44237906|  PASSED  
          sts_serial|  10|    100000|     100|0.81982460|  PASSED  
          sts_serial|  11|    100000|     100|0.88959618|  PASSED  
          sts_serial|  11|    100000|     100|0.14552320|  PASSED  
          sts_serial|  12|    100000|     100|0.63239841|  PASSED  
          sts_serial|  12|    100000|     100|0.51470588|  PASSED  
          sts_serial|  13|    100000|     100|0.61311430|  PASSED  
          sts_serial|  13|    100000|     100|0.99936588|   WEAK   
          sts_serial|  14|    100000|     100|0.63665009|  PASSED  
          sts_serial|  14|    100000|     100|0.80627311|  PASSED  
          sts_serial|  15|    100000|     100|0.69616993|  PASSED  
          sts_serial|  15|    100000|     100|0.60604194|  PASSED  
          sts_serial|  16|    100000|     100|0.13813703|  PASSED  
          sts_serial|  16|    100000|     100|0.13552895|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.40508416|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.97762887|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.81843938|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.67190085|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.77807191|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.58356765|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.93339878|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.21585495|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.69636706|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.97831492|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.24713127|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.84111342|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.43877736|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.54423249|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.34527647|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.70483829|  PASSED  
    rgb_permutations|   2|    100000|     100|0.00409299|   WEAK   
    rgb_permutations|   3|    100000|     100|0.99668799|   WEAK   
    rgb_permutations|   4|    100000|     100|0.63235476|  PASSED  
    rgb_permutations|   5|    100000|     100|0.10108718|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.83621750|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.70956449|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.67104943|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.28214666|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.76650706|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.13179941|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.57054818|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.60940053|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.10744964|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.63551993|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.84869526|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.99330192|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.33895226|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.99056334|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.20019399|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.22266544|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.63210333|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.87003424|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.50298984|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.94882986|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.37857452|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.60865562|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.28671770|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.80977551|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.72122973|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.92169413|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.06686315|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.59381498|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.31974459|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.58845795|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.56612552|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.68713772|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.21797455|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.03147092|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.13475379|  PASSED  
             dab_dct| 256|     50000|       1|0.00000596|   WEAK   
Preparing to run test 207.  ntuple = 0
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.29706759|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.44652708|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.13589110|  PASSED  
Preparing to run test 210.  ntuple = 0
