#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
  random-glibc2|  2.52e+08  |2534474205|    252143  |     244875  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.79806389|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.02619632|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.42743084|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.69779973|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.36883278|  PASSED  
        diehard_opso|   0|   2097152|     100|0.33982569|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.62868261|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.68447361|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.55410922|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.42137346|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.99865464|   WEAK   
    diehard_3dsphere|   3|      4000|     100|0.03982913|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00000000|  FAILED  
        diehard_sums|   0|       100|     100|0.44421903|  PASSED  
        diehard_runs|   0|    100000|     100|0.99630633|   WEAK   
        diehard_runs|   0|    100000|     100|0.97585178|  PASSED  
       diehard_craps|   0|    200000|     100|0.28450529|  PASSED  
       diehard_craps|   0|    200000|     100|0.88710232|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.41123228|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.84242499|  PASSED  
         sts_monobit|   1|    100000|     100|0.12042346|  PASSED  
            sts_runs|   2|    100000|     100|0.93574138|  PASSED  
          sts_serial|   1|    100000|     100|0.24576306|  PASSED  
          sts_serial|   2|    100000|     100|0.61993340|  PASSED  
          sts_serial|   3|    100000|     100|0.14485876|  PASSED  
