#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
   random-libc5|  2.41e+08  |3406862960|    240836  |     257042  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.77921641|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.84548598|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.12890869|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.52859693|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.60070739|  PASSED  
        diehard_opso|   0|   2097152|     100|0.77648977|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.87092259|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.44366597|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.77620850|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.01247115|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.18723468|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.22702588|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00000000|  FAILED  
        diehard_sums|   0|       100|     100|0.03956491|  PASSED  
        diehard_runs|   0|    100000|     100|0.07049575|  PASSED  
        diehard_runs|   0|    100000|     100|0.42354974|  PASSED  
       diehard_craps|   0|    200000|     100|0.99518713|   WEAK   
       diehard_craps|   0|    200000|     100|0.93662554|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.89056724|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.18837218|  PASSED  
         sts_monobit|   1|    100000|     100|0.32072717|  PASSED  
            sts_runs|   2|    100000|     100|0.27760187|  PASSED  
          sts_serial|   1|    100000|     100|0.42574942|  PASSED  
          sts_serial|   2|    100000|     100|0.39108591|  PASSED  
          sts_serial|   3|    100000|     100|0.89586674|  PASSED  
          sts_serial|   3|    100000|     100|0.68391361|  PASSED  
          sts_serial|   4|    100000|     100|0.75539028|  PASSED  
          sts_serial|   4|    100000|     100|0.80306060|  PASSED  
          sts_serial|   5|    100000|     100|0.99999093|   WEAK   
          sts_serial|   5|    100000|     100|0.73460780|  PASSED  
          sts_serial|   6|    100000|     100|0.80728105|  PASSED  
          sts_serial|   6|    100000|     100|0.32379434|  PASSED  
          sts_serial|   7|    100000|     100|0.34984972|  PASSED  
          sts_serial|   7|    100000|     100|0.57740249|  PASSED  
          sts_serial|   8|    100000|     100|0.94780752|  PASSED  
          sts_serial|   8|    100000|     100|0.42681250|  PASSED  
          sts_serial|   9|    100000|     100|0.40668459|  PASSED  
          sts_serial|   9|    100000|     100|0.43744324|  PASSED  
          sts_serial|  10|    100000|     100|0.91473734|  PASSED  
          sts_serial|  10|    100000|     100|0.16502061|  PASSED  
          sts_serial|  11|    100000|     100|0.91117948|  PASSED  
          sts_serial|  11|    100000|     100|0.32702074|  PASSED  
          sts_serial|  12|    100000|     100|0.28192717|  PASSED  
          sts_serial|  12|    100000|     100|0.37625530|  PASSED  
          sts_serial|  13|    100000|     100|0.18941097|  PASSED  
          sts_serial|  13|    100000|     100|0.29962810|  PASSED  
          sts_serial|  14|    100000|     100|0.18393680|  PASSED  
          sts_serial|  14|    100000|     100|0.24867010|  PASSED  
          sts_serial|  15|    100000|     100|0.43615179|  PASSED  
          sts_serial|  15|    100000|     100|0.89106898|  PASSED  
          sts_serial|  16|    100000|     100|0.62013916|  PASSED  
          sts_serial|  16|    100000|     100|0.83433704|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.32204161|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.58978346|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.58231027|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.20874421|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.65724654|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.45533087|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.47647655|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.37587486|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.47973214|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.21783547|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.70331201|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.77597326|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.26727832|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.87480961|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.64243140|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.72416124|  PASSED  
    rgb_permutations|   2|    100000|     100|0.33190835|  PASSED  
    rgb_permutations|   3|    100000|     100|0.57567510|  PASSED  
    rgb_permutations|   4|    100000|     100|0.18732709|  PASSED  
    rgb_permutations|   5|    100000|     100|0.91271060|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.85149059|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.55370544|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.63504349|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.57773332|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.76574815|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.68999357|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.41946841|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.83040831|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.89128126|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.82589837|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.26234602|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.85129890|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.30198398|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.63663709|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.00237193|   WEAK   
      rgb_lagged_sum|  15|   1000000|     100|0.54260434|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.91548066|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.14174581|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.46946008|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.98736169|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.37714312|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.29362418|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.71864251|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.32495683|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.58210514|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.84570205|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.33391700|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.53917155|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.20316380|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.03371502|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.22434085|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.77307769|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.38333206|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.82398789|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.52212740|  PASSED  
             dab_dct| 256|     50000|       1|0.00008385|   WEAK   
