#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
random256-libc5|  2.56e+08  |1236263916|    256147  |     233508  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.98122813|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.85488473|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.54896166|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.95422363|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.33635406|  PASSED  
        diehard_opso|   0|   2097152|     100|0.75754335|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.78779418|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.31070243|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.45726707|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.03388459|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.70419328|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.55806533|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.98292245|  PASSED  
        diehard_sums|   0|       100|     100|0.02724234|  PASSED  
        diehard_runs|   0|    100000|     100|0.55981124|  PASSED  
        diehard_runs|   0|    100000|     100|0.98147975|  PASSED  
       diehard_craps|   0|    200000|     100|0.68570260|  PASSED  
       diehard_craps|   0|    200000|     100|0.87947370|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.87434913|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.79499184|  PASSED  
         sts_monobit|   1|    100000|     100|0.77491764|  PASSED  
            sts_runs|   2|    100000|     100|0.68013490|  PASSED  
          sts_serial|   1|    100000|     100|0.51545966|  PASSED  
          sts_serial|   2|    100000|     100|0.14299636|  PASSED  
          sts_serial|   3|    100000|     100|0.31808350|  PASSED  
