#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
   random64-bsd|  2.51e+08  |1855870874|    250708  |     257009  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.95930665|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.38092316|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.99999882|   WEAK   
    diehard_rank_6x8|   0|    100000|     100|0.92772173|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.13793193|  PASSED  
        diehard_opso|   0|   2097152|     100|0.00000050|  FAILED  
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.63205488|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.12578053|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.92614578|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.11566331|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.85072297|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00000000|  FAILED  
        diehard_sums|   0|       100|     100|0.42195432|  PASSED  
        diehard_runs|   0|    100000|     100|0.01313812|  PASSED  
        diehard_runs|   0|    100000|     100|0.01086799|  PASSED  
       diehard_craps|   0|    200000|     100|0.08442133|  PASSED  
       diehard_craps|   0|    200000|     100|0.00000464|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.57377310|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.62641574|  PASSED  
         sts_monobit|   1|    100000|     100|0.22476702|  PASSED  
            sts_runs|   2|    100000|     100|0.04281814|  PASSED  
          sts_serial|   1|    100000|     100|0.05770439|  PASSED  
          sts_serial|   2|    100000|     100|0.67005716|  PASSED  
          sts_serial|   3|    100000|     100|0.96030743|  PASSED  
