#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
           ranf|  1.70e+08  | 282156324|    170389  |      43780  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.90908605|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.73984412|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.63426373|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.00259120|   WEAK   
   diehard_bitstream|   0|   2097152|     100|0.75190663|  PASSED  
        diehard_opso|   0|   2097152|     100|0.00000000|  FAILED  
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.49284274|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.91420180|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.66719833|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.86437575|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.55179744|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.64048154|  PASSED  
        diehard_sums|   0|       100|     100|0.84819853|  PASSED  
        diehard_runs|   0|    100000|     100|0.39918488|  PASSED  
        diehard_runs|   0|    100000|     100|0.27618413|  PASSED  
       diehard_craps|   0|    200000|     100|0.75054075|  PASSED  
       diehard_craps|   0|    200000|     100|0.27532942|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.09265287|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.07066015|  PASSED  
         sts_monobit|   1|    100000|     100|0.93639624|  PASSED  
            sts_runs|   2|    100000|     100|0.90024618|  PASSED  
          sts_serial|   1|    100000|     100|0.27256521|  PASSED  
          sts_serial|   2|    100000|     100|0.03682802|  PASSED  
          sts_serial|   3|    100000|     100|0.57712217|  PASSED  
          sts_serial|   3|    100000|     100|0.27516679|  PASSED  
          sts_serial|   4|    100000|     100|0.21472479|  PASSED  
          sts_serial|   4|    100000|     100|0.23090590|  PASSED  
          sts_serial|   5|    100000|     100|0.43524351|  PASSED  
          sts_serial|   5|    100000|     100|0.31034151|  PASSED  
          sts_serial|   6|    100000|     100|0.92374941|  PASSED  
          sts_serial|   6|    100000|     100|0.27807968|  PASSED  
          sts_serial|   7|    100000|     100|0.50850004|  PASSED  
          sts_serial|   7|    100000|     100|0.16209031|  PASSED  
          sts_serial|   8|    100000|     100|0.99520555|   WEAK   
          sts_serial|   8|    100000|     100|0.61788753|  PASSED  
          sts_serial|   9|    100000|     100|0.32108580|  PASSED  
          sts_serial|   9|    100000|     100|0.14956464|  PASSED  
          sts_serial|  10|    100000|     100|0.89333408|  PASSED  
          sts_serial|  10|    100000|     100|0.09368367|  PASSED  
          sts_serial|  11|    100000|     100|0.93442046|  PASSED  
          sts_serial|  11|    100000|     100|0.98558460|  PASSED  
          sts_serial|  12|    100000|     100|0.97463687|  PASSED  
