#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
      ranlux389|  1.10e+07  |1096254713|     11022  |      11594  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.72466938|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.43754190|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.04150739|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.40135274|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.66515026|  PASSED  
        diehard_opso|   0|   2097152|     100|0.98768535|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.22555081|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.00148474|   WEAK   
diehard_count_1s_byt|   0|    256000|     200|0.00181616|   WEAK   
diehard_count_1s_byt|   0|    256000|     300|0.02163405|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.81126942|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.99151964|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.94813768|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.75651748|  PASSED  
        diehard_sums|   0|       100|     100|0.74175925|  PASSED  
        diehard_runs|   0|    100000|     100|0.58345378|  PASSED  
        diehard_runs|   0|    100000|     100|0.58289230|  PASSED  
       diehard_craps|   0|    200000|     100|0.61610889|  PASSED  
       diehard_craps|   0|    200000|     100|0.44723832|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.23296746|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.07494613|  PASSED  
         sts_monobit|   1|    100000|     100|0.09394535|  PASSED  
            sts_runs|   2|    100000|     100|0.27992100|  PASSED  
          sts_serial|   1|    100000|     100|0.25934890|  PASSED  
          sts_serial|   2|    100000|     100|0.38352519|  PASSED  
          sts_serial|   3|    100000|     100|0.90276469|  PASSED  
          sts_serial|   3|    100000|     100|0.44945039|  PASSED  
          sts_serial|   4|    100000|     100|0.47319529|  PASSED  
          sts_serial|   4|    100000|     100|0.86663923|  PASSED  
          sts_serial|   5|    100000|     100|0.15110871|  PASSED  
          sts_serial|   5|    100000|     100|0.24903236|  PASSED  
          sts_serial|   6|    100000|     100|0.44011697|  PASSED  
          sts_serial|   6|    100000|     100|0.99857199|   WEAK   
          sts_serial|   7|    100000|     100|0.61495047|  PASSED  
          sts_serial|   7|    100000|     100|0.95542163|  PASSED  
