#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
         rdrand|  7.70e+04  | 485255158|        77  |         76  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.78078076|  PASSED  
      diehard_operm5|   0|      1000|       3|0.73843701|  PASSED  
  diehard_rank_32x32|   0|      1000|       3|1.00000000|  FAILED  
    diehard_rank_6x8|   0|      1000|       3|1.00000000|  FAILED  
   diehard_bitstream|   0|      1000|       3|0.03125000|  PASSED  
        diehard_opso|   0|      1000|       3|0.03125000|  PASSED  
        diehard_oqso|   0|      1000|       3|0.03125000|  PASSED  
         diehard_dna|   0|      1000|       3|0.03125000|  PASSED  
diehard_count_1s_str|   0|      1000|       3|0.03125000|  PASSED  
diehard_count_1s_byt|   0|      1000|       3|0.03125000|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.45749625|  PASSED  
    diehard_2dsphere|   2|      1000|       3|0.03125096|  PASSED  
    diehard_3dsphere|   3|      1000|       3|0.39647001|  PASSED  
     diehard_squeeze|   0|      1000|       3|1.00000000|  FAILED  
        diehard_sums|   0|       100|     100|0.25146519|  PASSED  
        diehard_runs|   0|      1000|       3|0.33335282|  PASSED  
        diehard_runs|   0|      1000|       3|0.90772208|  PASSED  
       diehard_craps|   0|      1000|       3|0.93940966|  PASSED  
       diehard_craps|   0|      1000|       3|0.42587407|  PASSED  
 marsaglia_tsang_gcd|   0|      1000|       3|0.97610801|  PASSED  
 marsaglia_tsang_gcd|   0|      1000|       3|0.03125000|  PASSED  
         sts_monobit|   1|      1000|       3|0.47828753|  PASSED  
            sts_runs|   2|      1000|       3|0.57727807|  PASSED  
          sts_serial|   1|      1000|       3|0.72366848|  PASSED  
          sts_serial|   2|      1000|       3|0.61854573|  PASSED  
          sts_serial|   3|      1000|       3|0.68646934|  PASSED  
          sts_serial|   3|      1000|       3|1.00000000|  FAILED  
          sts_serial|   4|      1000|       3|0.88673904|  PASSED  
          sts_serial|   4|      1000|       3|1.00000000|  FAILED  
          sts_serial|   5|      1000|       3|0.97874948|  PASSED  
          sts_serial|   5|      1000|       3|0.98950398|  PASSED  
          sts_serial|   6|      1000|       3|0.83602564|  PASSED  
          sts_serial|   6|      1000|       3|1.00000000|  FAILED  
          sts_serial|   7|      1000|       3|1.00000000|  FAILED  
          sts_serial|   7|      1000|       3|0.93218352|  PASSED  
          sts_serial|   8|      1000|       3|0.99557721|   WEAK   
          sts_serial|   8|      1000|       3|0.99767047|   WEAK   
          sts_serial|   9|      1000|       3|1.00000000|  FAILED  
          sts_serial|   9|      1000|       3|0.99795066|   WEAK   
          sts_serial|  10|      1000|       3|0.93992497|  PASSED  
          sts_serial|  10|      1000|       3|0.99910393|   WEAK   
          sts_serial|  11|      1000|       3|0.97083658|  PASSED  
          sts_serial|  11|      1000|       3|0.81775018|  PASSED  
          sts_serial|  12|      1000|       3|0.74872876|  PASSED  
          sts_serial|  12|      1000|       3|0.41760815|  PASSED  
          sts_serial|  13|      1000|       3|0.99976235|   WEAK   
          sts_serial|  13|      1000|       3|0.97705685|  PASSED  
          sts_serial|  14|      1000|       3|0.99247345|  PASSED  
          sts_serial|  14|      1000|       3|0.76558538|  PASSED  
          sts_serial|  15|      1000|       3|0.93550443|  PASSED  
          sts_serial|  15|      1000|       3|0.49255019|  PASSED  
          sts_serial|  16|      1000|       3|0.69883803|  PASSED  
          sts_serial|  16|      1000|       3|0.97142721|  PASSED  
         rgb_bitdist|   1|      1000|       3|1.00000000|  FAILED  
         rgb_bitdist|   2|      1000|       3|0.54949441|  PASSED  
         rgb_bitdist|   3|      1000|       3|0.71170651|  PASSED  
         rgb_bitdist|   4|      1000|       3|0.93015899|  PASSED  
         rgb_bitdist|   5|      1000|       3|0.99969386|   WEAK   
         rgb_bitdist|   6|      1000|       3|0.73640842|  PASSED  
         rgb_bitdist|   7|      1000|       3|0.96587514|  PASSED  
         rgb_bitdist|   8|      1000|       3|0.74784809|  PASSED  
         rgb_bitdist|   9|      1000|       3|0.99998873|   WEAK   
         rgb_bitdist|  10|      1000|       3|0.99999864|   WEAK   
         rgb_bitdist|  11|      1000|       3|0.81193580|  PASSED  
         rgb_bitdist|  12|      1000|       3|0.03125000|  PASSED  
rgb_minimum_distance|   2|      1000|       3|0.99940823|   WEAK   
rgb_minimum_distance|   3|      1000|       3|0.99605157|   WEAK   
rgb_minimum_distance|   4|      1000|       3|1.00000000|  FAILED  
rgb_minimum_distance|   5|      1000|       3|0.97087575|  PASSED  
