#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
       romuquad|  2.78e+08  |4138695061|    277531  |     258264  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.84483361|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.69085146|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.84765199|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.10136306|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.13461566|  PASSED  
        diehard_opso|   0|   2097152|     100|0.65493384|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.29353057|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00250799|   WEAK   
         diehard_dna|   0|   2097152|     200|0.00555224|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.09127072|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.75891279|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.45040839|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.69652301|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.97131608|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.87022925|  PASSED  
        diehard_sums|   0|       100|     100|0.29894903|  PASSED  
        diehard_runs|   0|    100000|     100|0.12626868|  PASSED  
        diehard_runs|   0|    100000|     100|0.01694929|  PASSED  
       diehard_craps|   0|    200000|     100|0.61714994|  PASSED  
       diehard_craps|   0|    200000|     100|0.86632005|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.96104433|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.53665194|  PASSED  
         sts_monobit|   1|    100000|     100|0.96955512|  PASSED  
            sts_runs|   2|    100000|     100|0.68952124|  PASSED  
          sts_serial|   1|    100000|     100|0.75366541|  PASSED  
          sts_serial|   2|    100000|     100|0.52978531|  PASSED  
          sts_serial|   3|    100000|     100|0.03297554|  PASSED  
          sts_serial|   3|    100000|     100|0.00842013|  PASSED  
          sts_serial|   4|    100000|     100|0.57736796|  PASSED  
          sts_serial|   4|    100000|     100|0.52295724|  PASSED  
          sts_serial|   5|    100000|     100|0.99646380|   WEAK   
          sts_serial|   5|    100000|     100|0.11486436|  PASSED  
          sts_serial|   6|    100000|     100|0.69303714|  PASSED  
          sts_serial|   6|    100000|     100|0.59832741|  PASSED  
          sts_serial|   7|    100000|     100|0.14411874|  PASSED  
          sts_serial|   7|    100000|     100|0.99304367|  PASSED  
          sts_serial|   8|    100000|     100|0.42702532|  PASSED  
          sts_serial|   8|    100000|     100|0.91136489|  PASSED  
          sts_serial|   9|    100000|     100|0.36450070|  PASSED  
          sts_serial|   9|    100000|     100|0.26025790|  PASSED  
          sts_serial|  10|    100000|     100|0.17173721|  PASSED  
          sts_serial|  10|    100000|     100|0.60723119|  PASSED  
          sts_serial|  11|    100000|     100|0.77465162|  PASSED  
          sts_serial|  11|    100000|     100|0.99125650|  PASSED  
          sts_serial|  12|    100000|     100|0.81483960|  PASSED  
          sts_serial|  12|    100000|     100|0.30347068|  PASSED  
          sts_serial|  13|    100000|     100|0.82469665|  PASSED  
          sts_serial|  13|    100000|     100|0.88246600|  PASSED  
          sts_serial|  14|    100000|     100|0.69226127|  PASSED  
          sts_serial|  14|    100000|     100|0.43184704|  PASSED  
          sts_serial|  15|    100000|     100|0.95677512|  PASSED  
          sts_serial|  15|    100000|     100|0.75498047|  PASSED  
          sts_serial|  16|    100000|     100|0.84017696|  PASSED  
          sts_serial|  16|    100000|     100|0.64547822|  PASSED  
          sts_serial|   1|    100000|     200|0.34309158|  PASSED  
          sts_serial|   2|    100000|     200|0.76291867|  PASSED  
          sts_serial|   3|    100000|     200|0.04500260|  PASSED  
          sts_serial|   3|    100000|     200|0.00121837|   WEAK   
          sts_serial|   4|    100000|     200|0.84565199|  PASSED  
          sts_serial|   4|    100000|     200|0.33562316|  PASSED  
          sts_serial|   5|    100000|     200|0.84918974|  PASSED  
          sts_serial|   5|    100000|     200|0.22933329|  PASSED  
          sts_serial|   6|    100000|     200|0.91490589|  PASSED  
          sts_serial|   6|    100000|     200|0.76095318|  PASSED  
          sts_serial|   7|    100000|     200|0.46226002|  PASSED  
          sts_serial|   7|    100000|     200|0.76383453|  PASSED  
          sts_serial|   8|    100000|     200|0.93576031|  PASSED  
          sts_serial|   8|    100000|     200|0.97994108|  PASSED  
          sts_serial|   9|    100000|     200|0.26332433|  PASSED  
          sts_serial|   9|    100000|     200|0.54597763|  PASSED  
          sts_serial|  10|    100000|     200|0.60321273|  PASSED  
          sts_serial|  10|    100000|     200|0.83183957|  PASSED  
          sts_serial|  11|    100000|     200|0.85312335|  PASSED  
          sts_serial|  11|    100000|     200|0.65541303|  PASSED  
          sts_serial|  12|    100000|     200|0.71867998|  PASSED  
          sts_serial|  12|    100000|     200|0.30417104|  PASSED  
          sts_serial|  13|    100000|     200|0.88131387|  PASSED  
          sts_serial|  13|    100000|     200|0.95063996|  PASSED  
          sts_serial|  14|    100000|     200|0.46968463|  PASSED  
          sts_serial|  14|    100000|     200|0.70842255|  PASSED  
          sts_serial|  15|    100000|     200|0.94068890|  PASSED  
          sts_serial|  15|    100000|     200|0.18007037|  PASSED  
          sts_serial|  16|    100000|     200|0.72484552|  PASSED  
          sts_serial|  16|    100000|     200|0.40736399|  PASSED  
          sts_serial|   1|    100000|     300|0.47430599|  PASSED  
          sts_serial|   2|    100000|     300|0.49105504|  PASSED  
          sts_serial|   3|    100000|     300|0.03761095|  PASSED  
          sts_serial|   3|    100000|     300|0.00802597|  PASSED  
          sts_serial|   4|    100000|     300|0.54422715|  PASSED  
          sts_serial|   4|    100000|     300|0.41907289|  PASSED  
          sts_serial|   5|    100000|     300|0.64056860|  PASSED  
          sts_serial|   5|    100000|     300|0.20434532|  PASSED  
          sts_serial|   6|    100000|     300|0.99768037|   WEAK   
          sts_serial|   6|    100000|     300|0.99291008|  PASSED  
          sts_serial|   7|    100000|     300|0.86645620|  PASSED  
          sts_serial|   7|    100000|     300|0.97532857|  PASSED  
          sts_serial|   8|    100000|     300|0.96110231|  PASSED  
          sts_serial|   8|    100000|     300|0.98135210|  PASSED  
          sts_serial|   9|    100000|     300|0.57930612|  PASSED  
          sts_serial|   9|    100000|     300|0.90460905|  PASSED  
