#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
      superkiss|  1.72e+08  |1922247123|    171833  |     160053  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.81698840|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.85403754|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.93188388|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.42407610|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.42030390|  PASSED  
        diehard_opso|   0|   2097152|     100|0.79685552|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.53893049|  PASSED  
         diehard_dna|   0|   2097152|     100|0.35857598|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.45818462|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.65919883|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.85083996|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.44901532|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.60072647|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.50289997|  PASSED  
        diehard_sums|   0|       100|     100|0.04526139|  PASSED  
        diehard_runs|   0|    100000|     100|0.85198676|  PASSED  
        diehard_runs|   0|    100000|     100|0.91424330|  PASSED  
       diehard_craps|   0|    200000|     100|0.00000000|  FAILED  
       diehard_craps|   0|    200000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.61184375|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.67214647|  PASSED  
         sts_monobit|   1|    100000|     100|0.21475284|  PASSED  
            sts_runs|   2|    100000|     100|0.61166976|  PASSED  
          sts_serial|   1|    100000|     100|0.31926145|  PASSED  
          sts_serial|   2|    100000|     100|0.77458980|  PASSED  
          sts_serial|   3|    100000|     100|0.45893934|  PASSED  
          sts_serial|   3|    100000|     100|0.22211708|  PASSED  
          sts_serial|   4|    100000|     100|0.71337471|  PASSED  
          sts_serial|   4|    100000|     100|0.97684830|  PASSED  
          sts_serial|   5|    100000|     100|0.86322981|  PASSED  
          sts_serial|   5|    100000|     100|0.65850381|  PASSED  
          sts_serial|   6|    100000|     100|0.21364748|  PASSED  
          sts_serial|   6|    100000|     100|0.20130127|  PASSED  
          sts_serial|   7|    100000|     100|0.17056791|  PASSED  
          sts_serial|   7|    100000|     100|0.94956023|  PASSED  
          sts_serial|   8|    100000|     100|0.90320857|  PASSED  
          sts_serial|   8|    100000|     100|0.66274939|  PASSED  
          sts_serial|   9|    100000|     100|0.18827614|  PASSED  
          sts_serial|   9|    100000|     100|0.41591168|  PASSED  
          sts_serial|  10|    100000|     100|0.17696213|  PASSED  
          sts_serial|  10|    100000|     100|0.26094795|  PASSED  
          sts_serial|  11|    100000|     100|0.78634599|  PASSED  
          sts_serial|  11|    100000|     100|0.62202174|  PASSED  
          sts_serial|  12|    100000|     100|0.29140313|  PASSED  
          sts_serial|  12|    100000|     100|0.51753055|  PASSED  
          sts_serial|  13|    100000|     100|0.95639792|  PASSED  
          sts_serial|  13|    100000|     100|0.31256110|  PASSED  
          sts_serial|  14|    100000|     100|0.19229648|  PASSED  
          sts_serial|  14|    100000|     100|0.31037329|  PASSED  
          sts_serial|  15|    100000|     100|0.32288838|  PASSED  
          sts_serial|  15|    100000|     100|0.03258633|  PASSED  
          sts_serial|  16|    100000|     100|0.18648898|  PASSED  
          sts_serial|  16|    100000|     100|0.20207739|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.06404909|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.98160003|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.92820118|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.44828565|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.52447232|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.20627292|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.80403882|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.35883982|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.24745494|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.56761794|  PASSED  
