#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
        taus113|  2.12e+08  | 393492585|    211519  |     203388  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.07265153|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.74084190|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.33381310|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.86114819|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.13993963|  PASSED  
        diehard_opso|   0|   2097152|     100|0.43858691|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.67908822|  PASSED  
         diehard_dna|   0|   2097152|     100|0.04693524|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.89214715|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.48761920|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.40756286|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.86571705|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.54507901|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.96632969|  PASSED  
        diehard_sums|   0|       100|     100|0.03759106|  PASSED  
        diehard_runs|   0|    100000|     100|0.28565626|  PASSED  
        diehard_runs|   0|    100000|     100|0.67405675|  PASSED  
       diehard_craps|   0|    200000|     100|0.15220534|  PASSED  
       diehard_craps|   0|    200000|     100|0.65792738|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.72046663|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.79847146|  PASSED  
         sts_monobit|   1|    100000|     100|0.76225155|  PASSED  
            sts_runs|   2|    100000|     100|0.70544130|  PASSED  
          sts_serial|   1|    100000|     100|0.97962081|  PASSED  
          sts_serial|   2|    100000|     100|0.93343193|  PASSED  
          sts_serial|   3|    100000|     100|0.68556853|  PASSED  
          sts_serial|   3|    100000|     100|0.73214022|  PASSED  
          sts_serial|   4|    100000|     100|0.54114836|  PASSED  
          sts_serial|   4|    100000|     100|0.11384311|  PASSED  
          sts_serial|   5|    100000|     100|0.87028114|  PASSED  
          sts_serial|   5|    100000|     100|0.96280005|  PASSED  
          sts_serial|   6|    100000|     100|0.57377329|  PASSED  
          sts_serial|   6|    100000|     100|0.65829229|  PASSED  
          sts_serial|   7|    100000|     100|0.45457796|  PASSED  
          sts_serial|   7|    100000|     100|0.76774590|  PASSED  
          sts_serial|   8|    100000|     100|0.29907624|  PASSED  
          sts_serial|   8|    100000|     100|0.25808457|  PASSED  
          sts_serial|   9|    100000|     100|0.77879342|  PASSED  
          sts_serial|   9|    100000|     100|0.64143556|  PASSED  
          sts_serial|  10|    100000|     100|0.47355446|  PASSED  
          sts_serial|  10|    100000|     100|0.41717300|  PASSED  
          sts_serial|  11|    100000|     100|0.95599889|  PASSED  
          sts_serial|  11|    100000|     100|0.42023408|  PASSED  
          sts_serial|  12|    100000|     100|0.60978787|  PASSED  
          sts_serial|  12|    100000|     100|0.91485288|  PASSED  
          sts_serial|  13|    100000|     100|0.62890263|  PASSED  
          sts_serial|  13|    100000|     100|0.18170495|  PASSED  
          sts_serial|  14|    100000|     100|0.40378182|  PASSED  
          sts_serial|  14|    100000|     100|0.99732718|   WEAK   
          sts_serial|  15|    100000|     100|0.61045661|  PASSED  
          sts_serial|  15|    100000|     100|0.85186223|  PASSED  
          sts_serial|  16|    100000|     100|0.11561933|  PASSED  
