#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
          taus2|  2.14e+08  |  32865288|    214293  |     226557  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.11495719|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.02444820|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.90398873|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.15232980|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.59818880|  PASSED  
        diehard_opso|   0|   2097152|     100|0.73913486|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.08645134|  PASSED  
         diehard_dna|   0|   2097152|     100|0.19686471|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.38170705|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.78325385|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.45040839|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.61477175|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.93465213|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.78674116|  PASSED  
        diehard_sums|   0|       100|     100|0.91925320|  PASSED  
        diehard_runs|   0|    100000|     100|0.86147840|  PASSED  
        diehard_runs|   0|    100000|     100|0.12974470|  PASSED  
       diehard_craps|   0|    200000|     100|0.08395402|  PASSED  
       diehard_craps|   0|    200000|     100|0.30781700|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.91804269|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.47574662|  PASSED  
         sts_monobit|   1|    100000|     100|0.09400823|  PASSED  
            sts_runs|   2|    100000|     100|0.46292104|  PASSED  
          sts_serial|   1|    100000|     100|0.09031266|  PASSED  
          sts_serial|   2|    100000|     100|0.84465887|  PASSED  
          sts_serial|   3|    100000|     100|0.76754660|  PASSED  
