#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
           taus|  2.15e+08  |2762537876|    215197  |     226952  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.34157164|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.20366257|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.25274867|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.51751185|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.44997789|  PASSED  
        diehard_opso|   0|   2097152|     100|0.89783095|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.74946276|  PASSED  
         diehard_dna|   0|   2097152|     100|0.77320876|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.19240022|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.89896520|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.45123033|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.42271297|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.76090327|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.62588648|  PASSED  
        diehard_sums|   0|       100|     100|0.56311322|  PASSED  
        diehard_runs|   0|    100000|     100|0.19020592|  PASSED  
        diehard_runs|   0|    100000|     100|0.85426776|  PASSED  
       diehard_craps|   0|    200000|     100|0.74277479|  PASSED  
       diehard_craps|   0|    200000|     100|0.67251446|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.46834546|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.83646640|  PASSED  
         sts_monobit|   1|    100000|     100|0.53910189|  PASSED  
            sts_runs|   2|    100000|     100|0.00300294|   WEAK   
          sts_serial|   1|    100000|     100|0.65633597|  PASSED  
          sts_serial|   2|    100000|     100|0.58314826|  PASSED  
          sts_serial|   3|    100000|     100|0.99904668|   WEAK   
          sts_serial|   3|    100000|     100|0.22026705|  PASSED  
          sts_serial|   4|    100000|     100|0.99911236|   WEAK   
          sts_serial|   4|    100000|     100|0.94180364|  PASSED  
          sts_serial|   5|    100000|     100|0.95163763|  PASSED  
          sts_serial|   5|    100000|     100|0.56425427|  PASSED  
          sts_serial|   6|    100000|     100|0.38390332|  PASSED  
          sts_serial|   6|    100000|     100|0.37238480|  PASSED  
          sts_serial|   7|    100000|     100|0.95249692|  PASSED  
          sts_serial|   7|    100000|     100|0.65275902|  PASSED  
          sts_serial|   8|    100000|     100|0.31186332|  PASSED  
          sts_serial|   8|    100000|     100|0.18301206|  PASSED  
          sts_serial|   9|    100000|     100|0.25088314|  PASSED  
          sts_serial|   9|    100000|     100|0.96702480|  PASSED  
          sts_serial|  10|    100000|     100|0.52668160|  PASSED  
          sts_serial|  10|    100000|     100|0.46730251|  PASSED  
          sts_serial|  11|    100000|     100|0.25435310|  PASSED  
          sts_serial|  11|    100000|     100|0.10775947|  PASSED  
          sts_serial|  12|    100000|     100|0.78116998|  PASSED  
          sts_serial|  12|    100000|     100|0.70091337|  PASSED  
          sts_serial|  13|    100000|     100|0.76316907|  PASSED  
          sts_serial|  13|    100000|     100|0.75603254|  PASSED  
          sts_serial|  14|    100000|     100|0.48702837|  PASSED  
          sts_serial|  14|    100000|     100|0.34292624|  PASSED  
          sts_serial|  15|    100000|     100|0.71498372|  PASSED  
          sts_serial|  15|    100000|     100|0.31694600|  PASSED  
          sts_serial|  16|    100000|     100|0.41108700|  PASSED  
          sts_serial|  16|    100000|     100|0.85256374|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.89065700|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.26981729|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.69056883|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.38077556|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.96398109|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.53198568|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.23327312|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.87025969|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.97486855|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.48017392|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.99881531|   WEAK   
         rgb_bitdist|  12|    100000|     100|0.68528459|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.68076847|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.08290095|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.16683233|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.52159665|  PASSED  
    rgb_permutations|   2|    100000|     100|0.89986843|  PASSED  
    rgb_permutations|   3|    100000|     100|0.67031730|  PASSED  
    rgb_permutations|   4|    100000|     100|0.15771715|  PASSED  
