#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
           taus|  1.79e+08  |2809816281|    179009  |     136174  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.49378221|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.57916298|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.15162770|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.44278300|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.37981605|  PASSED  
        diehard_opso|   0|   2097152|     100|0.98999528|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.12214585|  PASSED  
         diehard_dna|   0|   2097152|     100|0.32899574|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.24884212|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.31146877|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.95056725|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.53046128|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.80243978|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.98348103|  PASSED  
        diehard_sums|   0|       100|     100|0.27939718|  PASSED  
        diehard_runs|   0|    100000|     100|0.58629885|  PASSED  
        diehard_runs|   0|    100000|     100|0.48225111|  PASSED  
       diehard_craps|   0|    200000|     100|0.61869761|  PASSED  
       diehard_craps|   0|    200000|     100|0.22038707|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.28270888|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.21762964|  PASSED  
         sts_monobit|   1|    100000|     100|0.70340633|  PASSED  
            sts_runs|   2|    100000|     100|0.12863254|  PASSED  
          sts_serial|   1|    100000|     100|0.19428142|  PASSED  
          sts_serial|   2|    100000|     100|0.55574006|  PASSED  
          sts_serial|   3|    100000|     100|0.09879059|  PASSED  
