#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
   threefry2x32|  5.90e+07  |1865129974|     59045  |      26045  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.94862035|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.46726186|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.98418771|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.75936406|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.52842428|  PASSED  
        diehard_opso|   0|   2097152|     100|0.57400625|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.51046766|  PASSED  
         diehard_dna|   0|   2097152|     100|0.37162750|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.72476920|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.28656419|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.99976578|   WEAK   
 diehard_parking_lot|   0|     12000|     200|0.88664555|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.38579858|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.95372286|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.14446693|  PASSED  
        diehard_runs|   0|    100000|     100|0.09628666|  PASSED  
        diehard_runs|   0|    100000|     100|0.58804424|  PASSED  
       diehard_craps|   0|    200000|     100|0.91057650|  PASSED  
       diehard_craps|   0|    200000|     100|0.10147641|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.50900464|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.41150106|  PASSED  
         sts_monobit|   1|    100000|     100|0.29581184|  PASSED  
            sts_runs|   2|    100000|     100|0.75529501|  PASSED  
          sts_serial|   1|    100000|     100|0.09612102|  PASSED  
          sts_serial|   2|    100000|     100|0.75690257|  PASSED  
          sts_serial|   3|    100000|     100|0.54457280|  PASSED  
          sts_serial|   3|    100000|     100|0.76803749|  PASSED  
          sts_serial|   4|    100000|     100|0.79657082|  PASSED  
          sts_serial|   4|    100000|     100|0.13118124|  PASSED  
          sts_serial|   5|    100000|     100|0.72704270|  PASSED  
          sts_serial|   5|    100000|     100|0.96641247|  PASSED  
          sts_serial|   6|    100000|     100|0.67009698|  PASSED  
          sts_serial|   6|    100000|     100|0.51066635|  PASSED  
          sts_serial|   7|    100000|     100|0.77387469|  PASSED  
          sts_serial|   7|    100000|     100|0.14874943|  PASSED  
          sts_serial|   8|    100000|     100|0.25816805|  PASSED  
          sts_serial|   8|    100000|     100|0.37783499|  PASSED  
          sts_serial|   9|    100000|     100|0.96596152|  PASSED  
          sts_serial|   9|    100000|     100|0.80464052|  PASSED  
          sts_serial|  10|    100000|     100|0.86044343|  PASSED  
          sts_serial|  10|    100000|     100|0.78655849|  PASSED  
          sts_serial|  11|    100000|     100|0.60590989|  PASSED  
          sts_serial|  11|    100000|     100|0.82895888|  PASSED  
          sts_serial|  12|    100000|     100|0.83361250|  PASSED  
          sts_serial|  12|    100000|     100|0.47553726|  PASSED  
          sts_serial|  13|    100000|     100|0.88123666|  PASSED  
          sts_serial|  13|    100000|     100|0.39433378|  PASSED  
          sts_serial|  14|    100000|     100|0.21385708|  PASSED  
          sts_serial|  14|    100000|     100|0.11902227|  PASSED  
          sts_serial|  15|    100000|     100|0.44807393|  PASSED  
          sts_serial|  15|    100000|     100|0.26405687|  PASSED  
          sts_serial|  16|    100000|     100|0.72799259|  PASSED  
          sts_serial|  16|    100000|     100|0.93810276|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.22666617|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.54011768|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.28831805|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.22736515|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.90438257|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.45315961|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.20277145|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.94010980|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.26146014|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.84795560|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.56006358|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.50759079|  PASSED  
