#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
          tt800|  2.02e+08  | 734714068|    201869  |     192733  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.50812865|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.08525910|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.29320970|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.71385819|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.88398343|  PASSED  
        diehard_opso|   0|   2097152|     100|0.92389666|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.68175159|  PASSED  
         diehard_dna|   0|   2097152|     100|0.63841440|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.94140629|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.10927437|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.26323148|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.27222503|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.85723683|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.55065846|  PASSED  
        diehard_sums|   0|       100|     100|0.80581636|  PASSED  
        diehard_runs|   0|    100000|     100|0.51104318|  PASSED  
        diehard_runs|   0|    100000|     100|0.85207317|  PASSED  
       diehard_craps|   0|    200000|     100|0.82404082|  PASSED  
       diehard_craps|   0|    200000|     100|0.42408581|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.82915969|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.53487757|  PASSED  
         sts_monobit|   1|    100000|     100|0.91862784|  PASSED  
            sts_runs|   2|    100000|     100|0.81514526|  PASSED  
          sts_serial|   1|    100000|     100|0.52945579|  PASSED  
          sts_serial|   2|    100000|     100|0.99618938|   WEAK   
          sts_serial|   3|    100000|     100|0.88353895|  PASSED  
          sts_serial|   3|    100000|     100|0.91269174|  PASSED  
          sts_serial|   4|    100000|     100|0.41648645|  PASSED  
          sts_serial|   4|    100000|     100|0.57957679|  PASSED  
          sts_serial|   5|    100000|     100|0.49879452|  PASSED  
          sts_serial|   5|    100000|     100|0.75575039|  PASSED  
          sts_serial|   6|    100000|     100|0.75453779|  PASSED  
          sts_serial|   6|    100000|     100|0.13915768|  PASSED  
          sts_serial|   7|    100000|     100|0.72486954|  PASSED  
          sts_serial|   7|    100000|     100|0.99115886|  PASSED  
          sts_serial|   8|    100000|     100|0.66728285|  PASSED  
          sts_serial|   8|    100000|     100|0.42888340|  PASSED  
          sts_serial|   9|    100000|     100|0.45835316|  PASSED  
          sts_serial|   9|    100000|     100|0.51817139|  PASSED  
          sts_serial|  10|    100000|     100|0.84328807|  PASSED  
          sts_serial|  10|    100000|     100|0.92875619|  PASSED  
          sts_serial|  11|    100000|     100|0.83331364|  PASSED  
          sts_serial|  11|    100000|     100|0.99993369|   WEAK   
          sts_serial|  12|    100000|     100|0.21393481|  PASSED  
          sts_serial|  12|    100000|     100|0.59503878|  PASSED  
          sts_serial|  13|    100000|     100|0.84965212|  PASSED  
          sts_serial|  13|    100000|     100|0.70155545|  PASSED  
          sts_serial|  14|    100000|     100|0.51505429|  PASSED  
          sts_serial|  14|    100000|     100|0.97085789|  PASSED  
          sts_serial|  15|    100000|     100|0.48734201|  PASSED  
          sts_serial|  15|    100000|     100|0.76836402|  PASSED  
          sts_serial|  16|    100000|     100|0.41436960|  PASSED  
          sts_serial|  16|    100000|     100|0.81555685|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.58152987|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.39239329|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.48608113|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.28254329|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.98211521|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.14268272|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.80340840|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.97181737|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.98472160|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.40694419|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.85108430|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.15132586|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.49564416|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.37261467|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.14661255|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.86639797|  PASSED  
    rgb_permutations|   2|    100000|     100|0.54002213|  PASSED  
    rgb_permutations|   3|    100000|     100|0.87252545|  PASSED  
    rgb_permutations|   4|    100000|     100|0.85352397|  PASSED  
    rgb_permutations|   5|    100000|     100|0.54780333|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.53535530|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.28346538|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.16784467|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.95325425|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.43985638|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.50741569|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.83856881|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.82211762|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.78008030|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.50101847|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.98783957|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.79365125|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.61091441|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.76129959|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.77028935|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.59976151|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.45576330|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.43463247|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.78762761|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.58777526|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.38527737|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.79293423|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.93518109|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.20398683|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.84562281|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.99678655|   WEAK   
      rgb_lagged_sum|  26|   1000000|     100|0.14118406|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.86324332|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.98619444|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.17410394|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.59402426|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.89842290|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.58879051|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.72212166|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.42011356|  PASSED  
             dab_dct| 256|     50000|       1|0.71799530|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.30173774|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.07234700|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.20413811|  PASSED  
Preparing to run test 210.  ntuple = 0
