#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
           uvag|  1.94e+08  |4167355084|    194363  |     195388  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.26363370|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.29116369|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.45190956|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.41560886|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.93660315|  PASSED  
        diehard_opso|   0|   2097152|     100|0.10895746|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.07250676|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00103206|   WEAK   
         diehard_dna|   0|   2097152|     200|0.00086990|   WEAK   
         diehard_dna|   0|   2097152|     300|0.00920101|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.95965410|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.16953035|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.30484250|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.14545564|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.29878676|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.36548509|  PASSED  
        diehard_sums|   0|       100|     100|0.01035538|  PASSED  
        diehard_runs|   0|    100000|     100|0.66250993|  PASSED  
        diehard_runs|   0|    100000|     100|0.20285423|  PASSED  
       diehard_craps|   0|    200000|     100|0.69982184|  PASSED  
       diehard_craps|   0|    200000|     100|0.48782363|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.56479176|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.82381513|  PASSED  
         sts_monobit|   1|    100000|     100|0.57079696|  PASSED  
            sts_runs|   2|    100000|     100|0.33973365|  PASSED  
          sts_serial|   1|    100000|     100|0.90597020|  PASSED  
          sts_serial|   2|    100000|     100|0.01962863|  PASSED  
          sts_serial|   3|    100000|     100|0.41335239|  PASSED  
          sts_serial|   3|    100000|     100|0.98972891|  PASSED  
          sts_serial|   4|    100000|     100|0.02442037|  PASSED  
          sts_serial|   4|    100000|     100|0.27743786|  PASSED  
          sts_serial|   5|    100000|     100|0.20553887|  PASSED  
          sts_serial|   5|    100000|     100|0.93937469|  PASSED  
          sts_serial|   6|    100000|     100|0.15874918|  PASSED  
          sts_serial|   6|    100000|     100|0.01899367|  PASSED  
          sts_serial|   7|    100000|     100|0.78519080|  PASSED  
          sts_serial|   7|    100000|     100|0.83998818|  PASSED  
          sts_serial|   8|    100000|     100|0.85758085|  PASSED  
          sts_serial|   8|    100000|     100|0.88866250|  PASSED  
          sts_serial|   9|    100000|     100|0.98504519|  PASSED  
          sts_serial|   9|    100000|     100|0.90372305|  PASSED  
          sts_serial|  10|    100000|     100|0.62859197|  PASSED  
          sts_serial|  10|    100000|     100|0.81417398|  PASSED  
          sts_serial|  11|    100000|     100|0.56557348|  PASSED  
          sts_serial|  11|    100000|     100|0.28583898|  PASSED  
          sts_serial|  12|    100000|     100|0.10730668|  PASSED  
          sts_serial|  12|    100000|     100|0.51212283|  PASSED  
          sts_serial|  13|    100000|     100|0.94838313|  PASSED  
          sts_serial|  13|    100000|     100|0.32971223|  PASSED  
          sts_serial|  14|    100000|     100|0.79035889|  PASSED  
          sts_serial|  14|    100000|     100|0.32697699|  PASSED  
          sts_serial|  15|    100000|     100|0.95696142|  PASSED  
          sts_serial|  15|    100000|     100|0.41918035|  PASSED  
          sts_serial|  16|    100000|     100|0.20268488|  PASSED  
          sts_serial|  16|    100000|     100|0.00868129|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.17632472|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.39261172|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.37631741|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.32183261|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.59644547|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.55539388|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.54684470|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.48733457|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.74457519|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.56809191|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.13584951|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.77509354|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.04748539|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.66265164|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.71778056|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.97492163|  PASSED  
    rgb_permutations|   2|    100000|     100|0.26985239|  PASSED  
    rgb_permutations|   3|    100000|     100|0.01236798|  PASSED  
    rgb_permutations|   4|    100000|     100|0.97486318|  PASSED  
    rgb_permutations|   5|    100000|     100|0.73697848|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.66600888|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.89504187|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.96467270|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.30233715|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.76079587|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.18700803|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.78713250|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.51144375|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.78280438|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.90148344|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.88252377|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.39128315|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.01059813|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.10345521|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.60472162|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.13766181|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.02534888|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.32395709|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.17930747|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.06727640|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.45685175|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.42085918|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.06715571|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.97168070|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.11089200|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.69173632|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.72997729|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.92562899|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.08071915|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.69013792|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.72912030|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.05400805|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.29226087|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.00156698|   WEAK   
     rgb_kstest_test|   0|     10000|    1100|0.00144459|   WEAK   
     rgb_kstest_test|   0|     10000|    1200|0.00381986|   WEAK   
     rgb_kstest_test|   0|     10000|    1300|0.00404001|   WEAK   
     rgb_kstest_test|   0|     10000|    1400|0.00296848|   WEAK   
     rgb_kstest_test|   0|     10000|    1500|0.00226388|   WEAK   
     rgb_kstest_test|   0|     10000|    1600|0.00801575|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.55365331|  PASSED  
             dab_dct| 256|     50000|       1|0.38588125|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.26867005|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.44160445|  PASSED  
