#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
       widynski|  2.59e+08  | 471008787|    259127  |     267222  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.36783720|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.03453930|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.51627403|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.93529710|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.32629482|  PASSED  
        diehard_opso|   0|   2097152|     100|0.49396602|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.95088699|  PASSED  
         diehard_dna|   0|   2097152|     100|0.95300097|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.18099589|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.81095151|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.27377983|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.98128114|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.65272308|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.52299643|  PASSED  
        diehard_sums|   0|       100|     100|0.02008197|  PASSED  
        diehard_runs|   0|    100000|     100|0.26681025|  PASSED  
        diehard_runs|   0|    100000|     100|0.68573800|  PASSED  
       diehard_craps|   0|    200000|     100|0.95714908|  PASSED  
       diehard_craps|   0|    200000|     100|0.76567395|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.87703431|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.15725132|  PASSED  
         sts_monobit|   1|    100000|     100|0.99469425|  PASSED  
            sts_runs|   2|    100000|     100|0.32799768|  PASSED  
          sts_serial|   1|    100000|     100|0.79223078|  PASSED  
          sts_serial|   2|    100000|     100|0.35091034|  PASSED  
          sts_serial|   3|    100000|     100|0.16847750|  PASSED  
          sts_serial|   3|    100000|     100|0.24791000|  PASSED  
          sts_serial|   4|    100000|     100|0.04538982|  PASSED  
          sts_serial|   4|    100000|     100|0.58705507|  PASSED  
          sts_serial|   5|    100000|     100|0.14360244|  PASSED  
          sts_serial|   5|    100000|     100|0.27197228|  PASSED  
          sts_serial|   6|    100000|     100|0.47910548|  PASSED  
          sts_serial|   6|    100000|     100|0.26625231|  PASSED  
          sts_serial|   7|    100000|     100|0.52163064|  PASSED  
          sts_serial|   7|    100000|     100|0.44314978|  PASSED  
          sts_serial|   8|    100000|     100|0.85758041|  PASSED  
          sts_serial|   8|    100000|     100|0.40330450|  PASSED  
          sts_serial|   9|    100000|     100|0.79691433|  PASSED  
          sts_serial|   9|    100000|     100|0.31427541|  PASSED  
          sts_serial|  10|    100000|     100|0.43801405|  PASSED  
          sts_serial|  10|    100000|     100|0.49105417|  PASSED  
          sts_serial|  11|    100000|     100|0.36957589|  PASSED  
          sts_serial|  11|    100000|     100|0.39977760|  PASSED  
          sts_serial|  12|    100000|     100|0.18463099|  PASSED  
          sts_serial|  12|    100000|     100|0.59911636|  PASSED  
          sts_serial|  13|    100000|     100|0.07767338|  PASSED  
          sts_serial|  13|    100000|     100|0.24160561|  PASSED  
          sts_serial|  14|    100000|     100|0.36901608|  PASSED  
          sts_serial|  14|    100000|     100|0.20630334|  PASSED  
          sts_serial|  15|    100000|     100|0.72558111|  PASSED  
          sts_serial|  15|    100000|     100|0.84889826|  PASSED  
          sts_serial|  16|    100000|     100|0.80049737|  PASSED  
          sts_serial|  16|    100000|     100|0.79230218|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.03734160|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.91308838|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.37014805|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.58455080|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.26040597|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.75993312|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.52571295|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.27410303|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.00307971|   WEAK   
         rgb_bitdist|   9|    100000|     200|0.10895135|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.67498684|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.47337727|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.64027326|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.73721280|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.95498426|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.15961776|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.21383210|  PASSED  
    rgb_permutations|   2|    100000|     100|0.81012634|  PASSED  
    rgb_permutations|   3|    100000|     100|0.83925502|  PASSED  
    rgb_permutations|   4|    100000|     100|0.84030767|  PASSED  
    rgb_permutations|   5|    100000|     100|0.03342250|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.01451457|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.41792937|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.80285488|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.94080600|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.93845236|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.31810917|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.68402129|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.91267854|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.18743199|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.06460580|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.63237387|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.20914125|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.82012883|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.99134726|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.88275576|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.03605473|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.98769470|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.06071950|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.65927464|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.33840633|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.79916973|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.34265871|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.67673142|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.58623510|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.78870821|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.46450379|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.29098501|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.55938875|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.60962069|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.59314921|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.93125423|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.33755266|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.94055063|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.01017942|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.48572906|  PASSED  
             dab_dct| 256|     50000|       1|0.50720861|  PASSED  
Skipping test 207
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.72944155|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.89695968|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.21016826|  PASSED  
Preparing to run test 210.  ntuple = 0
