#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
         wyrand|  3.20e+08  | 419999174|    319345  |     283551  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.73107366|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.22427602|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.73653654|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.36652772|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.58615933|  PASSED  
        diehard_opso|   0|   2097152|     100|0.83435379|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.94357339|  PASSED  
         diehard_dna|   0|   2097152|     100|0.37477420|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.15931569|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.76149856|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.79390338|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.17009496|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.01400961|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.65412499|  PASSED  
        diehard_sums|   0|       100|     100|0.10262995|  PASSED  
        diehard_runs|   0|    100000|     100|0.56990356|  PASSED  
        diehard_runs|   0|    100000|     100|0.09620530|  PASSED  
       diehard_craps|   0|    200000|     100|0.73100434|  PASSED  
       diehard_craps|   0|    200000|     100|0.54626924|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.36065236|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.76607629|  PASSED  
         sts_monobit|   1|    100000|     100|0.89239948|  PASSED  
            sts_runs|   2|    100000|     100|0.17797298|  PASSED  
          sts_serial|   1|    100000|     100|0.61786035|  PASSED  
          sts_serial|   2|    100000|     100|0.06799012|  PASSED  
          sts_serial|   3|    100000|     100|0.03427422|  PASSED  
          sts_serial|   3|    100000|     100|0.25709493|  PASSED  
          sts_serial|   4|    100000|     100|0.02833194|  PASSED  
          sts_serial|   4|    100000|     100|0.57663078|  PASSED  
          sts_serial|   5|    100000|     100|0.01223856|  PASSED  
          sts_serial|   5|    100000|     100|0.99306609|  PASSED  
          sts_serial|   6|    100000|     100|0.16929565|  PASSED  
          sts_serial|   6|    100000|     100|0.19891936|  PASSED  
          sts_serial|   7|    100000|     100|0.44333058|  PASSED  
          sts_serial|   7|    100000|     100|0.88931444|  PASSED  
          sts_serial|   8|    100000|     100|0.88350086|  PASSED  
          sts_serial|   8|    100000|     100|0.05643828|  PASSED  
          sts_serial|   9|    100000|     100|0.25699505|  PASSED  
          sts_serial|   9|    100000|     100|0.26929354|  PASSED  
          sts_serial|  10|    100000|     100|0.27918421|  PASSED  
          sts_serial|  10|    100000|     100|0.42717223|  PASSED  
          sts_serial|  11|    100000|     100|0.63067510|  PASSED  
          sts_serial|  11|    100000|     100|0.53523046|  PASSED  
          sts_serial|  12|    100000|     100|0.57893174|  PASSED  
          sts_serial|  12|    100000|     100|0.26182469|  PASSED  
          sts_serial|  13|    100000|     100|0.24155835|  PASSED  
          sts_serial|  13|    100000|     100|0.99270447|  PASSED  
          sts_serial|  14|    100000|     100|0.64657038|  PASSED  
          sts_serial|  14|    100000|     100|0.57964951|  PASSED  
          sts_serial|  15|    100000|     100|0.75902147|  PASSED  
          sts_serial|  15|    100000|     100|0.32986055|  PASSED  
          sts_serial|  16|    100000|     100|0.24072517|  PASSED  
          sts_serial|  16|    100000|     100|0.12729155|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.41453528|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.50642619|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.45216461|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.04562003|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.38420249|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.97704867|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.46320797|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.98844567|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.23055917|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.20243968|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.88967206|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.80149235|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.15739466|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.24800282|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.66317154|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.43802389|  PASSED  
    rgb_permutations|   2|    100000|     100|0.55319551|  PASSED  
    rgb_permutations|   3|    100000|     100|0.15372476|  PASSED  
    rgb_permutations|   4|    100000|     100|0.97934424|  PASSED  
    rgb_permutations|   5|    100000|     100|0.24213837|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.24934248|  PASSED  
