#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
 xoroshiro128++|  2.58e+08  |3304286876|    258404  |     258866  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.80468011|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.39548898|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.60411416|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.94994746|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.16231091|  PASSED  
        diehard_opso|   0|   2097152|     100|0.84593192|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.73595527|  PASSED  
         diehard_dna|   0|   2097152|     100|0.28668576|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.25865743|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.00681186|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.08162940|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.56943084|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.64304979|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.74046735|  PASSED  
        diehard_sums|   0|       100|     100|0.00280515|   WEAK   
        diehard_runs|   0|    100000|     100|0.86988562|  PASSED  
        diehard_runs|   0|    100000|     100|0.92995149|  PASSED  
       diehard_craps|   0|    200000|     100|0.32708216|  PASSED  
       diehard_craps|   0|    200000|     100|0.96503364|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.19123760|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.42228068|  PASSED  
         sts_monobit|   1|    100000|     100|0.32051143|  PASSED  
            sts_runs|   2|    100000|     100|0.66271541|  PASSED  
          sts_serial|   1|    100000|     100|0.95781976|  PASSED  
          sts_serial|   2|    100000|     100|0.58870235|  PASSED  
          sts_serial|   3|    100000|     100|0.82926680|  PASSED  
          sts_serial|   3|    100000|     100|0.20593901|  PASSED  
          sts_serial|   4|    100000|     100|0.05260867|  PASSED  
          sts_serial|   4|    100000|     100|0.51270384|  PASSED  
          sts_serial|   5|    100000|     100|0.22651304|  PASSED  
          sts_serial|   5|    100000|     100|0.85092088|  PASSED  
          sts_serial|   6|    100000|     100|0.65387408|  PASSED  
          sts_serial|   6|    100000|     100|0.53228528|  PASSED  
          sts_serial|   7|    100000|     100|0.52845161|  PASSED  
          sts_serial|   7|    100000|     100|0.63538854|  PASSED  
          sts_serial|   8|    100000|     100|0.84463395|  PASSED  
