#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
  xoroshiro128+|  2.14e+08  | 864875013|    213940  |     225002  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.18004970|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.81108569|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.94679697|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.88706963|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.93409336|  PASSED  
        diehard_opso|   0|   2097152|     100|0.11236358|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.58142241|  PASSED  
         diehard_dna|   0|   2097152|     100|0.79297802|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.99986707|   WEAK   
diehard_count_1s_str|   0|    256000|     200|0.17666464|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.87469473|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.51744758|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.01108908|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.09503772|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.71347006|  PASSED  
        diehard_sums|   0|       100|     100|0.13070603|  PASSED  
        diehard_runs|   0|    100000|     100|0.67300134|  PASSED  
        diehard_runs|   0|    100000|     100|0.73381001|  PASSED  
       diehard_craps|   0|    200000|     100|0.81740715|  PASSED  
       diehard_craps|   0|    200000|     100|0.43795369|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.09245451|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.55942307|  PASSED  
         sts_monobit|   1|    100000|     100|0.43006372|  PASSED  
            sts_runs|   2|    100000|     100|0.92064907|  PASSED  
          sts_serial|   1|    100000|     100|0.37751021|  PASSED  
          sts_serial|   2|    100000|     100|0.99119273|  PASSED  
          sts_serial|   3|    100000|     100|0.48482669|  PASSED  
          sts_serial|   3|    100000|     100|0.46270481|  PASSED  
          sts_serial|   4|    100000|     100|0.59335566|  PASSED  
          sts_serial|   4|    100000|     100|0.53515895|  PASSED  
          sts_serial|   5|    100000|     100|0.12964014|  PASSED  
          sts_serial|   5|    100000|     100|0.26483940|  PASSED  
          sts_serial|   6|    100000|     100|0.64895850|  PASSED  
          sts_serial|   6|    100000|     100|0.81286997|  PASSED  
          sts_serial|   7|    100000|     100|0.64407897|  PASSED  
          sts_serial|   7|    100000|     100|0.09047240|  PASSED  
          sts_serial|   8|    100000|     100|0.73806919|  PASSED  
          sts_serial|   8|    100000|     100|0.48015902|  PASSED  
          sts_serial|   9|    100000|     100|0.68170289|  PASSED  
          sts_serial|   9|    100000|     100|0.98905307|  PASSED  
          sts_serial|  10|    100000|     100|0.37365832|  PASSED  
          sts_serial|  10|    100000|     100|0.02915426|  PASSED  
          sts_serial|  11|    100000|     100|0.99996423|   WEAK   
          sts_serial|  11|    100000|     100|0.98376446|  PASSED  
          sts_serial|  12|    100000|     100|0.27221931|  PASSED  
          sts_serial|  12|    100000|     100|0.00805731|  PASSED  
          sts_serial|  13|    100000|     100|0.87708659|  PASSED  
          sts_serial|  13|    100000|     100|0.86571056|  PASSED  
          sts_serial|  14|    100000|     100|0.85547639|  PASSED  
          sts_serial|  14|    100000|     100|0.54451768|  PASSED  
          sts_serial|  15|    100000|     100|0.90547982|  PASSED  
          sts_serial|  15|    100000|     100|0.99631495|   WEAK   
          sts_serial|  16|    100000|     100|0.58464492|  PASSED  
          sts_serial|  16|    100000|     100|0.19722268|  PASSED  
          sts_serial|   1|    100000|     200|0.92508082|  PASSED  
          sts_serial|   2|    100000|     200|0.95136143|  PASSED  
          sts_serial|   3|    100000|     200|0.32565885|  PASSED  
          sts_serial|   3|    100000|     200|0.76162143|  PASSED  
          sts_serial|   4|    100000|     200|0.76083939|  PASSED  
          sts_serial|   4|    100000|     200|0.92641691|  PASSED  
          sts_serial|   5|    100000|     200|0.13176506|  PASSED  
          sts_serial|   5|    100000|     200|0.34338259|  PASSED  
          sts_serial|   6|    100000|     200|0.36956984|  PASSED  
          sts_serial|   6|    100000|     200|0.98899341|  PASSED  
          sts_serial|   7|    100000|     200|0.97528433|  PASSED  
          sts_serial|   7|    100000|     200|0.43071229|  PASSED  
          sts_serial|   8|    100000|     200|0.90859379|  PASSED  
          sts_serial|   8|    100000|     200|0.45003482|  PASSED  
          sts_serial|   9|    100000|     200|0.95920678|  PASSED  
          sts_serial|   9|    100000|     200|0.99909165|   WEAK   
          sts_serial|  10|    100000|     200|0.26121901|  PASSED  
          sts_serial|  10|    100000|     200|0.17243770|  PASSED  
          sts_serial|  11|    100000|     200|0.78095374|  PASSED  
          sts_serial|  11|    100000|     200|0.76057974|  PASSED  
          sts_serial|  12|    100000|     200|0.17946266|  PASSED  
          sts_serial|  12|    100000|     200|0.12145800|  PASSED  
          sts_serial|  13|    100000|     200|0.99028615|  PASSED  
          sts_serial|  13|    100000|     200|0.91265405|  PASSED  
          sts_serial|  14|    100000|     200|0.95970177|  PASSED  
          sts_serial|  14|    100000|     200|0.48728006|  PASSED  
          sts_serial|  15|    100000|     200|0.94183612|  PASSED  
          sts_serial|  15|    100000|     200|0.99805085|   WEAK   
          sts_serial|  16|    100000|     200|0.87431695|  PASSED  
          sts_serial|  16|    100000|     200|0.56336106|  PASSED  
          sts_serial|   1|    100000|     300|0.85063547|  PASSED  
          sts_serial|   2|    100000|     300|0.95047668|  PASSED  
          sts_serial|   3|    100000|     300|0.61379438|  PASSED  
          sts_serial|   3|    100000|     300|0.79269448|  PASSED  
          sts_serial|   4|    100000|     300|0.99981679|   WEAK   
          sts_serial|   4|    100000|     300|0.39527188|  PASSED  
          sts_serial|   5|    100000|     300|0.35334345|  PASSED  
          sts_serial|   5|    100000|     300|0.04390753|  PASSED  
          sts_serial|   6|    100000|     300|0.40343383|  PASSED  
          sts_serial|   6|    100000|     300|0.99929904|   WEAK   
          sts_serial|   7|    100000|     300|0.86239130|  PASSED  
          sts_serial|   7|    100000|     300|0.31298181|  PASSED  
          sts_serial|   8|    100000|     300|0.95453348|  PASSED  
          sts_serial|   8|    100000|     300|0.69378072|  PASSED  
          sts_serial|   9|    100000|     300|0.98678921|  PASSED  
          sts_serial|   9|    100000|     300|0.99732364|   WEAK   
          sts_serial|  10|    100000|     300|0.33948723|  PASSED  
          sts_serial|  10|    100000|     300|0.37831103|  PASSED  
          sts_serial|  11|    100000|     300|0.69446478|  PASSED  
          sts_serial|  11|    100000|     300|0.45455904|  PASSED  
          sts_serial|  12|    100000|     300|0.20943317|  PASSED  
          sts_serial|  12|    100000|     300|0.45263383|  PASSED  
          sts_serial|  13|    100000|     300|0.86661919|  PASSED  
          sts_serial|  13|    100000|     300|0.92806630|  PASSED  
          sts_serial|  14|    100000|     300|0.21621883|  PASSED  
          sts_serial|  14|    100000|     300|0.15789733|  PASSED  
          sts_serial|  15|    100000|     300|0.56546366|  PASSED  
          sts_serial|  15|    100000|     300|0.99591305|   WEAK   
          sts_serial|  16|    100000|     300|0.79299447|  PASSED  
          sts_serial|  16|    100000|     300|0.30080700|  PASSED  
          sts_serial|   1|    100000|     400|0.84451931|  PASSED  
          sts_serial|   2|    100000|     400|0.95513065|  PASSED  
          sts_serial|   3|    100000|     400|0.47360695|  PASSED  
          sts_serial|   3|    100000|     400|0.86376230|  PASSED  
          sts_serial|   4|    100000|     400|0.98046614|  PASSED  
          sts_serial|   4|    100000|     400|0.42434083|  PASSED  
          sts_serial|   5|    100000|     400|0.25480995|  PASSED  
          sts_serial|   5|    100000|     400|0.02141694|  PASSED  
          sts_serial|   6|    100000|     400|0.19520275|  PASSED  
          sts_serial|   6|    100000|     400|0.85741764|  PASSED  
          sts_serial|   7|    100000|     400|0.88257747|  PASSED  
          sts_serial|   7|    100000|     400|0.14068723|  PASSED  
          sts_serial|   8|    100000|     400|0.87924963|  PASSED  
          sts_serial|   8|    100000|     400|0.64159014|  PASSED  
          sts_serial|   9|    100000|     400|0.45452825|  PASSED  
          sts_serial|   9|    100000|     400|0.82535633|  PASSED  
          sts_serial|  10|    100000|     400|0.13757091|  PASSED  
          sts_serial|  10|    100000|     400|0.22300647|  PASSED  
          sts_serial|  11|    100000|     400|0.66636516|  PASSED  
          sts_serial|  11|    100000|     400|0.28042153|  PASSED  
          sts_serial|  12|    100000|     400|0.80508905|  PASSED  
          sts_serial|  12|    100000|     400|0.46054086|  PASSED  
          sts_serial|  13|    100000|     400|0.29065209|  PASSED  
          sts_serial|  13|    100000|     400|0.11312259|  PASSED  
          sts_serial|  14|    100000|     400|0.02583654|  PASSED  
          sts_serial|  14|    100000|     400|0.25192437|  PASSED  
          sts_serial|  15|    100000|     400|0.35034868|  PASSED  
          sts_serial|  15|    100000|     400|0.93965245|  PASSED  
          sts_serial|  16|    100000|     400|0.92362152|  PASSED  
          sts_serial|  16|    100000|     400|0.27406804|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.62036499|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.12116469|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.46547875|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.99399413|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.76014282|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.17774637|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.99003382|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.67307586|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.56533840|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.85420103|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.96448645|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.65605196|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.58305743|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.06141052|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.47906830|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.24589888|  PASSED  
    rgb_permutations|   2|    100000|     100|0.39881348|  PASSED  
    rgb_permutations|   3|    100000|     100|0.86814726|  PASSED  
    rgb_permutations|   4|    100000|     100|0.22496294|  PASSED  
    rgb_permutations|   5|    100000|     100|0.97712848|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.93046304|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.56185470|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.99450333|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.53459618|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.39555208|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.99567331|   WEAK   
      rgb_lagged_sum|   5|   1000000|     200|0.96752314|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.06505596|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.64849721|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.08171578|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.11268374|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.60036595|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.03362301|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.50822055|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.21259994|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.05425319|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.40603004|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.99354597|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.68272652|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.11383764|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.03979281|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.85538585|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.58939081|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.08612274|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.22312005|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.64140612|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.72063151|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.13712127|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.02958096|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.94752722|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.93428000|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.87582429|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.82958631|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.13138653|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.87149344|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.61114169|  PASSED  
             dab_dct| 256|     50000|       1|0.69162227|  PASSED  
Preparing to run test 207.  ntuple = 0
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.46834365|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.76996777|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.86421601|  PASSED  
Preparing to run test 210.  ntuple = 0
