#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
 xoroshiro128**|  2.58e+08  |2472174565|    258438  |     263123  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.87443472|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.57847636|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.86371512|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.58177813|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.51099358|  PASSED  
        diehard_opso|   0|   2097152|     100|0.78556763|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.58899563|  PASSED  
         diehard_dna|   0|   2097152|     100|0.38238721|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.06316711|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.63047468|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.17297545|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.13158581|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.92651869|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.02617414|  PASSED  
        diehard_sums|   0|       100|     100|0.37537155|  PASSED  
        diehard_runs|   0|    100000|     100|0.18773919|  PASSED  
        diehard_runs|   0|    100000|     100|0.79976252|  PASSED  
       diehard_craps|   0|    200000|     100|0.49803401|  PASSED  
       diehard_craps|   0|    200000|     100|0.58978142|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.55912583|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.87559013|  PASSED  
         sts_monobit|   1|    100000|     100|0.58961233|  PASSED  
            sts_runs|   2|    100000|     100|0.69215013|  PASSED  
          sts_serial|   1|    100000|     100|0.42496460|  PASSED  
          sts_serial|   2|    100000|     100|0.77260916|  PASSED  
          sts_serial|   3|    100000|     100|0.68210621|  PASSED  
          sts_serial|   3|    100000|     100|0.64736609|  PASSED  
          sts_serial|   4|    100000|     100|0.49889527|  PASSED  
          sts_serial|   4|    100000|     100|0.47772146|  PASSED  
          sts_serial|   5|    100000|     100|0.48311559|  PASSED  
          sts_serial|   5|    100000|     100|0.23470482|  PASSED  
          sts_serial|   6|    100000|     100|0.45611864|  PASSED  
          sts_serial|   6|    100000|     100|0.97997825|  PASSED  
          sts_serial|   7|    100000|     100|0.50370482|  PASSED  
          sts_serial|   7|    100000|     100|0.22858302|  PASSED  
          sts_serial|   8|    100000|     100|0.88434948|  PASSED  
          sts_serial|   8|    100000|     100|0.84858463|  PASSED  
          sts_serial|   9|    100000|     100|0.76283497|  PASSED  
          sts_serial|   9|    100000|     100|0.88609576|  PASSED  
          sts_serial|  10|    100000|     100|0.39451056|  PASSED  
          sts_serial|  10|    100000|     100|0.05963359|  PASSED  
          sts_serial|  11|    100000|     100|0.48838702|  PASSED  
          sts_serial|  11|    100000|     100|0.57388503|  PASSED  
          sts_serial|  12|    100000|     100|0.98721642|  PASSED  
          sts_serial|  12|    100000|     100|0.65110264|  PASSED  
          sts_serial|  13|    100000|     100|0.23546974|  PASSED  
          sts_serial|  13|    100000|     100|0.74333717|  PASSED  
          sts_serial|  14|    100000|     100|0.30757312|  PASSED  
          sts_serial|  14|    100000|     100|0.16592625|  PASSED  
          sts_serial|  15|    100000|     100|0.64137927|  PASSED  
          sts_serial|  15|    100000|     100|0.95083275|  PASSED  
          sts_serial|  16|    100000|     100|0.81131341|  PASSED  
          sts_serial|  16|    100000|     100|0.29872844|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.59065345|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.81837787|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.42839812|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.45367376|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.56757182|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.70812588|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.40624481|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.81536153|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.02710872|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.50479843|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.55444553|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.18354756|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.00478234|   WEAK   
rgb_minimum_distance|   3|     10000|    1000|0.71965401|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.32953023|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.02534385|  PASSED  
    rgb_permutations|   2|    100000|     100|0.72429125|  PASSED  
    rgb_permutations|   3|    100000|     100|0.84130558|  PASSED  
    rgb_permutations|   4|    100000|     100|0.26643243|  PASSED  
    rgb_permutations|   5|    100000|     100|0.62739526|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.97334456|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.00943564|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.98562205|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.89548913|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.68690903|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.05054790|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.45319241|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.83803320|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.35148320|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.64031411|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.58612843|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.64266848|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.66449601|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.34254486|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.87342990|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.82863814|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.47318044|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.28992981|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.86026476|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.17472884|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.40517954|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.82986554|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.43150353|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.93004891|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.96430717|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.44763408|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.82161919|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.92766441|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.92701176|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.93015712|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.10384015|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.14475298|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.73593366|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.83864746|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.49127788|  PASSED  
             dab_dct| 256|     50000|       1|0.80745160|  PASSED  
Preparing to run test 207.  ntuple = 0
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.37166329|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.23839672|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.38099973|  PASSED  
Preparing to run test 210.  ntuple = 0
