#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
 xoroshiro128**|  2.27e+08  |2458560103|    226978  |     247604  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.05781309|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.23683621|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.67080859|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.98896029|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.64817354|  PASSED  
        diehard_opso|   0|   2097152|     100|0.77591869|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.99330505|  PASSED  
         diehard_dna|   0|   2097152|     100|0.01697170|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.88673658|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.48683718|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.26273081|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.51033014|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.82952658|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00242118|   WEAK   
     diehard_squeeze|   0|    100000|     200|0.00317312|   WEAK   
     diehard_squeeze|   0|    100000|     300|0.00117720|   WEAK   
     diehard_squeeze|   0|    100000|     400|0.00006943|   WEAK   
     diehard_squeeze|   0|    100000|     500|0.00114508|   WEAK   
     diehard_squeeze|   0|    100000|     600|0.00306163|   WEAK   
     diehard_squeeze|   0|    100000|     700|0.00065505|   WEAK   
     diehard_squeeze|   0|    100000|     800|0.00647438|  PASSED  
        diehard_sums|   0|       100|     100|0.80641766|  PASSED  
        diehard_runs|   0|    100000|     100|0.88705607|  PASSED  
        diehard_runs|   0|    100000|     100|0.94141244|  PASSED  
       diehard_craps|   0|    200000|     100|0.98634234|  PASSED  
       diehard_craps|   0|    200000|     100|0.81510177|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.93740991|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.89725228|  PASSED  
         sts_monobit|   1|    100000|     100|0.88868892|  PASSED  
            sts_runs|   2|    100000|     100|0.94636676|  PASSED  
          sts_serial|   1|    100000|     100|0.99958326|   WEAK   
          sts_serial|   2|    100000|     100|0.48963058|  PASSED  
          sts_serial|   3|    100000|     100|0.61150182|  PASSED  
          sts_serial|   3|    100000|     100|0.20709291|  PASSED  
          sts_serial|   4|    100000|     100|0.78493769|  PASSED  
          sts_serial|   4|    100000|     100|0.97670452|  PASSED  
          sts_serial|   5|    100000|     100|0.70972869|  PASSED  
          sts_serial|   5|    100000|     100|0.57833836|  PASSED  
          sts_serial|   6|    100000|     100|0.99240524|  PASSED  
          sts_serial|   6|    100000|     100|0.64987113|  PASSED  
          sts_serial|   7|    100000|     100|0.98158163|  PASSED  
          sts_serial|   7|    100000|     100|0.37539120|  PASSED  
          sts_serial|   8|    100000|     100|0.99797941|   WEAK   
          sts_serial|   8|    100000|     100|0.34264398|  PASSED  
          sts_serial|   9|    100000|     100|0.33203649|  PASSED  
          sts_serial|   9|    100000|     100|0.56716413|  PASSED  
          sts_serial|  10|    100000|     100|0.72133584|  PASSED  
          sts_serial|  10|    100000|     100|0.77171011|  PASSED  
          sts_serial|  11|    100000|     100|0.80947378|  PASSED  
          sts_serial|  11|    100000|     100|0.54563559|  PASSED  
          sts_serial|  12|    100000|     100|0.29286541|  PASSED  
          sts_serial|  12|    100000|     100|0.69026608|  PASSED  
          sts_serial|  13|    100000|     100|0.49673360|  PASSED  
          sts_serial|  13|    100000|     100|0.75168202|  PASSED  
          sts_serial|  14|    100000|     100|0.98708069|  PASSED  
          sts_serial|  14|    100000|     100|0.37956618|  PASSED  
          sts_serial|  15|    100000|     100|0.05224197|  PASSED  
          sts_serial|  15|    100000|     100|0.04462839|  PASSED  
          sts_serial|  16|    100000|     100|0.88188325|  PASSED  
          sts_serial|  16|    100000|     100|0.85138024|  PASSED  
          sts_serial|   1|    100000|     200|0.30360976|  PASSED  
          sts_serial|   2|    100000|     200|0.88175561|  PASSED  
          sts_serial|   3|    100000|     200|0.86661262|  PASSED  
          sts_serial|   3|    100000|     200|0.85474503|  PASSED  
          sts_serial|   4|    100000|     200|0.74502476|  PASSED  
          sts_serial|   4|    100000|     200|0.39406541|  PASSED  
          sts_serial|   5|    100000|     200|0.15777689|  PASSED  
          sts_serial|   5|    100000|     200|0.04100347|  PASSED  
          sts_serial|   6|    100000|     200|0.14961816|  PASSED  
