#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
  xoroshiro64**|  2.62e+08  |1094426940|    261519  |     267279  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.89386120|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.79128827|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.38876616|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.31028627|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.81164554|  PASSED  
        diehard_opso|   0|   2097152|     100|0.65969233|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.86498562|  PASSED  
         diehard_dna|   0|   2097152|     100|0.96554501|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.79886941|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.95913498|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.55915630|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.97970265|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.96758645|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.84017401|  PASSED  
        diehard_sums|   0|       100|     100|0.61984739|  PASSED  
        diehard_runs|   0|    100000|     100|0.10241909|  PASSED  
        diehard_runs|   0|    100000|     100|0.06550978|  PASSED  
       diehard_craps|   0|    200000|     100|0.48316703|  PASSED  
       diehard_craps|   0|    200000|     100|0.27001417|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.82685000|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.03567526|  PASSED  
         sts_monobit|   1|    100000|     100|0.00789338|  PASSED  
            sts_runs|   2|    100000|     100|0.80817314|  PASSED  
          sts_serial|   1|    100000|     100|0.99481732|  PASSED  
          sts_serial|   2|    100000|     100|0.94774712|  PASSED  
          sts_serial|   3|    100000|     100|0.80498541|  PASSED  
          sts_serial|   3|    100000|     100|0.49499204|  PASSED  
          sts_serial|   4|    100000|     100|0.48677269|  PASSED  
          sts_serial|   4|    100000|     100|0.46982123|  PASSED  
          sts_serial|   5|    100000|     100|0.09279716|  PASSED  
          sts_serial|   5|    100000|     100|0.48595870|  PASSED  
          sts_serial|   6|    100000|     100|0.96833502|  PASSED  
          sts_serial|   6|    100000|     100|0.87042159|  PASSED  
          sts_serial|   7|    100000|     100|0.55148185|  PASSED  
          sts_serial|   7|    100000|     100|0.49722414|  PASSED  
          sts_serial|   8|    100000|     100|0.40376368|  PASSED  
          sts_serial|   8|    100000|     100|0.51232740|  PASSED  
          sts_serial|   9|    100000|     100|0.97209786|  PASSED  
          sts_serial|   9|    100000|     100|0.65959614|  PASSED  
          sts_serial|  10|    100000|     100|0.71819925|  PASSED  
          sts_serial|  10|    100000|     100|0.33548811|  PASSED  
          sts_serial|  11|    100000|     100|0.97762377|  PASSED  
          sts_serial|  11|    100000|     100|0.64304557|  PASSED  
          sts_serial|  12|    100000|     100|0.64002905|  PASSED  
          sts_serial|  12|    100000|     100|0.77751907|  PASSED  
          sts_serial|  13|    100000|     100|0.26929212|  PASSED  
          sts_serial|  13|    100000|     100|0.65472923|  PASSED  
          sts_serial|  14|    100000|     100|0.42950230|  PASSED  
          sts_serial|  14|    100000|     100|0.96832742|  PASSED  
          sts_serial|  15|    100000|     100|0.61201941|  PASSED  
          sts_serial|  15|    100000|     100|0.89681480|  PASSED  
          sts_serial|  16|    100000|     100|0.25892716|  PASSED  
          sts_serial|  16|    100000|     100|0.25697136|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.67348963|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.60021551|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.77163713|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.85227287|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.38324191|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.19530782|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.69116341|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.09179735|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.73785317|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.06558918|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.91021155|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.67663160|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.97933532|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.52691450|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.05295572|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.14770767|  PASSED  
    rgb_permutations|   2|    100000|     100|0.97560904|  PASSED  
    rgb_permutations|   3|    100000|     100|0.76708696|  PASSED  
    rgb_permutations|   4|    100000|     100|0.93707797|  PASSED  
    rgb_permutations|   5|    100000|     100|0.69325907|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.08576305|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.21121569|  PASSED  
