#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
    xorshift_k5|  2.46e+08  |2109147367|    245742  |     246645  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.59638355|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.69747254|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.22615013|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.69733997|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.59780528|  PASSED  
        diehard_opso|   0|   2097152|     100|0.27399753|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.59349519|  PASSED  
         diehard_dna|   0|   2097152|     100|0.89481523|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.14735514|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.11134888|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.00000000|  FAILED  
    diehard_2dsphere|   2|      8000|     100|0.00000000|  FAILED  
    diehard_3dsphere|   3|      4000|     100|0.00000000|  FAILED  
     diehard_squeeze|   0|    100000|     100|0.00000000|  FAILED  
        diehard_sums|   0|       100|     100|0.00000000|  FAILED  
        diehard_runs|   0|    100000|     100|0.46231315|  PASSED  
        diehard_runs|   0|    100000|     100|0.88465073|  PASSED  
       diehard_craps|   0|    200000|     100|0.34437863|  PASSED  
       diehard_craps|   0|    200000|     100|0.85568891|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.68538583|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.03887916|  PASSED  
         sts_monobit|   1|    100000|     100|0.79996441|  PASSED  
            sts_runs|   2|    100000|     100|0.66471407|  PASSED  
          sts_serial|   1|    100000|     100|0.43156539|  PASSED  
          sts_serial|   2|    100000|     100|0.94623590|  PASSED  
          sts_serial|   3|    100000|     100|0.39838310|  PASSED  
          sts_serial|   3|    100000|     100|0.87183298|  PASSED  
          sts_serial|   4|    100000|     100|0.29886747|  PASSED  
          sts_serial|   4|    100000|     100|0.32368302|  PASSED  
          sts_serial|   5|    100000|     100|0.05066049|  PASSED  
          sts_serial|   5|    100000|     100|0.10015783|  PASSED  
          sts_serial|   6|    100000|     100|0.21972544|  PASSED  
          sts_serial|   6|    100000|     100|0.98612904|  PASSED  
          sts_serial|   7|    100000|     100|0.64890775|  PASSED  
          sts_serial|   7|    100000|     100|0.98495599|  PASSED  
          sts_serial|   8|    100000|     100|0.53794935|  PASSED  
          sts_serial|   8|    100000|     100|0.45968712|  PASSED  
          sts_serial|   9|    100000|     100|0.73987952|  PASSED  
          sts_serial|   9|    100000|     100|0.85867364|  PASSED  
          sts_serial|  10|    100000|     100|0.84257245|  PASSED  
          sts_serial|  10|    100000|     100|0.94856004|  PASSED  
          sts_serial|  11|    100000|     100|0.98394701|  PASSED  
          sts_serial|  11|    100000|     100|0.20976761|  PASSED  
