#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
  xorshift1024*|  1.66e+08  |2533851659|    165942  |     171794  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.15504031|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.43984154|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.51032856|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.27554504|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.75465984|  PASSED  
        diehard_opso|   0|   2097152|     100|0.98380703|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.50039394|  PASSED  
         diehard_dna|   0|   2097152|     100|0.95986466|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.23683103|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.72884094|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.18682201|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.19014613|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.01656495|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.08896476|  PASSED  
        diehard_sums|   0|       100|     100|0.10449524|  PASSED  
        diehard_runs|   0|    100000|     100|0.77184788|  PASSED  
        diehard_runs|   0|    100000|     100|0.52529798|  PASSED  
       diehard_craps|   0|    200000|     100|0.98825761|  PASSED  
       diehard_craps|   0|    200000|     100|0.80246989|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.15928615|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.16763183|  PASSED  
         sts_monobit|   1|    100000|     100|0.17205038|  PASSED  
            sts_runs|   2|    100000|     100|0.59574948|  PASSED  
          sts_serial|   1|    100000|     100|0.38202668|  PASSED  
          sts_serial|   2|    100000|     100|0.07244412|  PASSED  
          sts_serial|   3|    100000|     100|0.92080522|  PASSED  
          sts_serial|   3|    100000|     100|0.53217665|  PASSED  
          sts_serial|   4|    100000|     100|0.88471613|  PASSED  
          sts_serial|   4|    100000|     100|0.56715382|  PASSED  
          sts_serial|   5|    100000|     100|0.97583060|  PASSED  
          sts_serial|   5|    100000|     100|0.73811038|  PASSED  
          sts_serial|   6|    100000|     100|0.72751723|  PASSED  
          sts_serial|   6|    100000|     100|0.88682049|  PASSED  
          sts_serial|   7|    100000|     100|0.75717246|  PASSED  
          sts_serial|   7|    100000|     100|0.36284223|  PASSED  
          sts_serial|   8|    100000|     100|0.79760206|  PASSED  
          sts_serial|   8|    100000|     100|0.69151164|  PASSED  
          sts_serial|   9|    100000|     100|0.34020851|  PASSED  
          sts_serial|   9|    100000|     100|0.18672405|  PASSED  
          sts_serial|  10|    100000|     100|0.47224732|  PASSED  
          sts_serial|  10|    100000|     100|0.77388622|  PASSED  
          sts_serial|  11|    100000|     100|0.76072505|  PASSED  
          sts_serial|  11|    100000|     100|0.69278453|  PASSED  
          sts_serial|  12|    100000|     100|0.65952738|  PASSED  
          sts_serial|  12|    100000|     100|0.93899710|  PASSED  
          sts_serial|  13|    100000|     100|0.71080666|  PASSED  
          sts_serial|  13|    100000|     100|0.42992519|  PASSED  
          sts_serial|  14|    100000|     100|0.88805521|  PASSED  
          sts_serial|  14|    100000|     100|0.02639047|  PASSED  
          sts_serial|  15|    100000|     100|0.06299563|  PASSED  
          sts_serial|  15|    100000|     100|0.02485124|  PASSED  
          sts_serial|  16|    100000|     100|0.15856257|  PASSED  
          sts_serial|  16|    100000|     100|0.91249660|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.83383091|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.46470293|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.40153382|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.67340825|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.98559956|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.69533861|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.53962797|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.32408595|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.93350967|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.86946712|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.75253074|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.49749634|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.22638453|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.34416786|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.63912264|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.38329584|  PASSED  
    rgb_permutations|   2|    100000|     100|0.79808145|  PASSED  
    rgb_permutations|   3|    100000|     100|0.99928065|   WEAK   
    rgb_permutations|   3|    100000|     200|0.98908789|  PASSED  
    rgb_permutations|   4|    100000|     100|0.85844788|  PASSED  
    rgb_permutations|   5|    100000|     100|0.11118137|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.10375644|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.52961621|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.26233213|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.65881171|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.12685211|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.67999247|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.13455859|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.97284160|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.97568719|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.23665611|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.23969106|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.23356001|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.39253048|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.80236702|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.23466143|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.99163074|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.06671417|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.91416364|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.77516019|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.72876895|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.99408240|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.41916164|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.27860137|  PASSED  
