#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
    xoshiro128+|  2.90e+08  | 228383623|    289544  |     257579  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.82503908|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.63878985|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.98896788|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.66265875|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.55478500|  PASSED  
        diehard_opso|   0|   2097152|     100|0.86298986|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.47503956|  PASSED  
         diehard_dna|   0|   2097152|     100|0.98313384|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.04462831|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.32354539|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.40502936|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.84110111|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.03292851|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.72759802|  PASSED  
        diehard_sums|   0|       100|     100|0.41338333|  PASSED  
        diehard_runs|   0|    100000|     100|0.65991229|  PASSED  
        diehard_runs|   0|    100000|     100|0.88353636|  PASSED  
       diehard_craps|   0|    200000|     100|0.31208414|  PASSED  
       diehard_craps|   0|    200000|     100|0.40930777|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.65652503|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.55539541|  PASSED  
         sts_monobit|   1|    100000|     100|0.39396630|  PASSED  
            sts_runs|   2|    100000|     100|0.91254367|  PASSED  
          sts_serial|   1|    100000|     100|0.22834838|  PASSED  
          sts_serial|   2|    100000|     100|0.56312420|  PASSED  
          sts_serial|   3|    100000|     100|0.25258999|  PASSED  
          sts_serial|   3|    100000|     100|0.13422087|  PASSED  
          sts_serial|   4|    100000|     100|0.36904260|  PASSED  
          sts_serial|   4|    100000|     100|0.93427504|  PASSED  
          sts_serial|   5|    100000|     100|0.70866772|  PASSED  
          sts_serial|   5|    100000|     100|0.88320550|  PASSED  
          sts_serial|   6|    100000|     100|0.69893665|  PASSED  
          sts_serial|   6|    100000|     100|0.98938486|  PASSED  
          sts_serial|   7|    100000|     100|0.68356950|  PASSED  
          sts_serial|   7|    100000|     100|0.31788337|  PASSED  
          sts_serial|   8|    100000|     100|0.21996232|  PASSED  
          sts_serial|   8|    100000|     100|0.25548675|  PASSED  
          sts_serial|   9|    100000|     100|0.30238084|  PASSED  
          sts_serial|   9|    100000|     100|0.59793780|  PASSED  
          sts_serial|  10|    100000|     100|0.22554089|  PASSED  
          sts_serial|  10|    100000|     100|0.25538263|  PASSED  
          sts_serial|  11|    100000|     100|0.99432911|  PASSED  
          sts_serial|  11|    100000|     100|0.60592271|  PASSED  
          sts_serial|  12|    100000|     100|0.33860172|  PASSED  
          sts_serial|  12|    100000|     100|0.17271348|  PASSED  
          sts_serial|  13|    100000|     100|0.47014591|  PASSED  
