#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
   xoshiro128**|  2.38e+08  |3307875922|    237846  |     197671  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.77329870|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.99740025|   WEAK   
      diehard_operm5|   0|   1000000|     200|0.87823617|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.20253874|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.12468350|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.93669423|  PASSED  
        diehard_opso|   0|   2097152|     100|0.88139757|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.51099728|  PASSED  
         diehard_dna|   0|   2097152|     100|0.54556640|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.58843754|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.32616216|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.16663853|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.14697675|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.91057746|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.22836637|  PASSED  
        diehard_sums|   0|       100|     100|0.08125440|  PASSED  
        diehard_runs|   0|    100000|     100|0.80807715|  PASSED  
        diehard_runs|   0|    100000|     100|0.29628981|  PASSED  
       diehard_craps|   0|    200000|     100|0.91534194|  PASSED  
       diehard_craps|   0|    200000|     100|0.85913337|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.57266384|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.93958385|  PASSED  
         sts_monobit|   1|    100000|     100|0.41858629|  PASSED  
            sts_runs|   2|    100000|     100|0.75492489|  PASSED  
          sts_serial|   1|    100000|     100|0.31002610|  PASSED  
          sts_serial|   2|    100000|     100|0.90489197|  PASSED  
          sts_serial|   3|    100000|     100|0.57929454|  PASSED  
          sts_serial|   3|    100000|     100|0.88608023|  PASSED  
          sts_serial|   4|    100000|     100|0.11443049|  PASSED  
          sts_serial|   4|    100000|     100|0.35209808|  PASSED  
          sts_serial|   5|    100000|     100|0.79537779|  PASSED  
          sts_serial|   5|    100000|     100|0.73898329|  PASSED  
          sts_serial|   6|    100000|     100|0.05560750|  PASSED  
          sts_serial|   6|    100000|     100|0.08861769|  PASSED  
          sts_serial|   7|    100000|     100|0.07627218|  PASSED  
          sts_serial|   7|    100000|     100|0.99369159|  PASSED  
          sts_serial|   8|    100000|     100|0.76525452|  PASSED  
          sts_serial|   8|    100000|     100|0.61128304|  PASSED  
          sts_serial|   9|    100000|     100|0.93587186|  PASSED  
          sts_serial|   9|    100000|     100|0.67868649|  PASSED  
          sts_serial|  10|    100000|     100|0.33703634|  PASSED  
          sts_serial|  10|    100000|     100|0.35072706|  PASSED  
          sts_serial|  11|    100000|     100|0.87429496|  PASSED  
          sts_serial|  11|    100000|     100|0.99144059|  PASSED  
          sts_serial|  12|    100000|     100|0.76231911|  PASSED  
          sts_serial|  12|    100000|     100|0.17104780|  PASSED  
          sts_serial|  13|    100000|     100|0.30159372|  PASSED  
          sts_serial|  13|    100000|     100|0.93692064|  PASSED  
