#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
   xoshiro256**|  2.55e+08  |3415591954|    255134  |     245110  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.65281252|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.35168042|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.71801633|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.29424617|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.96057797|  PASSED  
        diehard_opso|   0|   2097152|     100|0.05125195|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.95549082|  PASSED  
         diehard_dna|   0|   2097152|     100|0.05147383|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.35057093|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.17326323|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.33358085|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.26388115|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.23830720|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.84400687|  PASSED  
        diehard_sums|   0|       100|     100|0.79698241|  PASSED  
        diehard_runs|   0|    100000|     100|0.43301648|  PASSED  
        diehard_runs|   0|    100000|     100|0.07304914|  PASSED  
       diehard_craps|   0|    200000|     100|0.13526444|  PASSED  
       diehard_craps|   0|    200000|     100|0.99718525|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.65691368|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.27346303|  PASSED  
         sts_monobit|   1|    100000|     100|0.99473951|  PASSED  
            sts_runs|   2|    100000|     100|0.94648707|  PASSED  
          sts_serial|   1|    100000|     100|0.61505591|  PASSED  
          sts_serial|   2|    100000|     100|0.85985723|  PASSED  
          sts_serial|   3|    100000|     100|0.15998196|  PASSED  
          sts_serial|   3|    100000|     100|0.40995737|  PASSED  
          sts_serial|   4|    100000|     100|0.15777617|  PASSED  
          sts_serial|   4|    100000|     100|0.13057017|  PASSED  
          sts_serial|   5|    100000|     100|0.03037664|  PASSED  
          sts_serial|   5|    100000|     100|0.41828349|  PASSED  
          sts_serial|   6|    100000|     100|0.07453838|  PASSED  
          sts_serial|   6|    100000|     100|0.84194853|  PASSED  
          sts_serial|   7|    100000|     100|0.01020656|  PASSED  
          sts_serial|   7|    100000|     100|0.55788786|  PASSED  
          sts_serial|   8|    100000|     100|0.30072702|  PASSED  
          sts_serial|   8|    100000|     100|0.83394312|  PASSED  
          sts_serial|   9|    100000|     100|0.36843812|  PASSED  
          sts_serial|   9|    100000|     100|0.90263228|  PASSED  
          sts_serial|  10|    100000|     100|0.57575731|  PASSED  
          sts_serial|  10|    100000|     100|0.77810612|  PASSED  
          sts_serial|  11|    100000|     100|0.88423281|  PASSED  
          sts_serial|  11|    100000|     100|0.47363353|  PASSED  
          sts_serial|  12|    100000|     100|0.96528453|  PASSED  
          sts_serial|  12|    100000|     100|0.83421361|  PASSED  
          sts_serial|  13|    100000|     100|0.35818140|  PASSED  
          sts_serial|  13|    100000|     100|0.27789996|  PASSED  
          sts_serial|  14|    100000|     100|0.79852357|  PASSED  
          sts_serial|  14|    100000|     100|0.33517255|  PASSED  
          sts_serial|  15|    100000|     100|0.47141428|  PASSED  
          sts_serial|  15|    100000|     100|0.24736571|  PASSED  
          sts_serial|  16|    100000|     100|0.13891909|  PASSED  
          sts_serial|  16|    100000|     100|0.05571403|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.89065638|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.50343353|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.31222503|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.98621734|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.94431236|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.67293369|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.95295482|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.29478892|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.30862183|  PASSED  
